id,Jeff Carpenter,Reuben F. Young,over,under
01-01,351,1274,1,68
01-02,402,1235,1,91
01-03,784,978,0,94
01-04,453,649,0,63
01-05,491,567,0,78
01-06,679,1860,2,106
01-07,565,1704,1,99
01-07A,38,193,0,12
01-09,248,818,1,54
01-10,458,898,1,58
01-11,1227,1061,0,140
01-12,618,1072,0,88
01-13,262,1138,0,52
01-14,581,2674,4,119
01-15,852,1165,0,110
01-16,847,1700,1,136
01-17,476,498,0,43
01-18,834,1476,2,95
01-19,91,1338,1,32
01-20,294,1975,0,62
01-21,886,2578,1,145
01-22,218,3062,2,64
01-23,682,2532,0,186
01-25,46,444,0,20
01-26,133,1543,0,66
01-27,334,1582,0,84
01-28,598,3102,0,134
01-29,1010,1204,1,108
01-30,503,690,0,58
01-31,518,2285,3,112
01-32,565,1666,2,91
01-33,565,1028,1,73
01-34,75,1121,1,28
01-35,104,1623,3,45
01-36,1113,1256,2,129
01-37,766,914,1,79
01-38,563,1319,1,82
01-39,701,1541,1,125
01-40,248,3054,2,71
01-41,396,1442,0,95
01-42,1250,1234,0,99
01-43,650,1367,2,80
01-44,944,2113,0,140
01-45,563,926,0,64
01-46,362,1865,5,83
01-47,936,1030,1,85
01-48,458,1463,1,69
01-49,608,2068,2,108
01-50,186,2316,1,85
01-51,405,577,0,38
02-01,1427,1457,1,114
02-02,2911,2447,0,207
02-03,1512,1199,1,124
02-04,1225,1001,2,70
02-05,487,481,1,33
02-06,1384,1020,0,94
03-00,2755,2921,3,296
04-01,668,1264,0,93
04-02,813,1435,1,85
04-03,581,1207,1,78
04-04,483,951,0,62
04-05,1194,2087,3,140
04-06,998,1629,2,148
04-07,1307,1225,2,101
04-08,661,1530,1,96
04-09,929,1320,2,98
04-10,945,1570,2,115
04-11,405,957,3,55
04-12,983,1544,2,104
04-13,1569,2565,2,217
04-14,600,926,0,70
04-15,803,1468,2,95
04-16,598,1271,1,74
04-17,517,1092,2,77
04-18,864,1691,2,109
04-19,610,988,0,74
04-20,882,1839,0,123
04-21,427,1129,1,63
05-01,1406,2278,2,153
05-03,1466,2204,0,165
05-05,2051,4345,2,254
05-06,1740,2750,2,235
05-07,1873,4405,4,271
05-08,895,2421,2,139
06-04,1549,2110,2,155
06-05,1643,1235,1,131
06-06,2665,3091,5,265
06-07,1380,1692,1,132
06-08,797,1181,0,103
06-09,3326,3201,10,367
06-10,1837,1643,2,168
07-01,500,1003,2,56
07-02,595,891,0,77
07-03,594,862,0,65
07-04,1105,2535,1,158
07-05,612,1035,1,73
07-06,1439,1804,1,165
07-07,1352,1915,2,137
07-07A,193,270,0,65
07-09,1035,1863,3,129
07-10,1489,3081,0,208
07-11,457,603,0,48
07-12,768,1632,0,130
07-13,740,1259,0,82
08-02,1415,2194,2,174
08-03,1845,3009,0,215
08-04,815,801,3,56
08-05,873,1035,0,94
08-06,462,1478,1,69
08-07,1206,1138,0,106
08-08,1687,2212,3,214
08-09,646,1089,0,94
08-10,937,1606,3,100
08-11,1323,2253,2,177
09-01,1140,905,0,79
09-02,1089,1792,0,105
09-03,1703,1619,0,102
10-01,736,383,0,52
10-02,1547,1860,1,101
10-03,1003,1335,0,81
10-04,2917,4381,5,234
11-01,1645,3227,1,248
11-02,1467,2617,1,168
12-01,3309,2327,3,244
12-02,2054,2264,0,167
12-04,2780,1598,3,177
12-05,3741,3299,0,309
12-06,2046,1709,0,161
12-07,1509,1156,0,87
12-08,1896,2264,1,219
12-09,2557,2092,1,210
13-01,989,3495,4,158
13-02,816,1015,1,105
13-05,472,1401,1,76
13-06,1097,1621,1,123
13-07,609,1502,1,66
13-08,512,2011,2,86
13-09,890,2962,1,131
13-10,2246,3064,1,241
13-11,1329,1503,2,129
14-01,474,266,0,23
14-02,3998,2389,1,238
15-01,2209,1583,1,117
15-02,2588,2515,3,188
15-03,2709,1769,0,154
15-04,1161,962,2,63
16-01,1162,1390,1,111
16-02,760,3290,2,140
16-03,486,819,1,43
16-04,1072,1318,2,107
16-05,996,1192,1,70
16-06,388,755,0,48
16-07,1246,1708,1,109
16-09,1422,2352,2,147
16-10,538,3591,2,107
16-11,495,2376,1,65
17-01,607,1606,0,84
17-02,629,817,1,44
17-03,1652,3915,0,196
17-04,1893,3993,0,218
17-05,907,2453,3,139
17-06,894,1097,1,74
17-07,482,2687,0,73
17-09,330,2935,1,73
17-10,360,709,1,42
17-11,962,2868,1,135
17-12,739,2236,3,91
17-13,1551,3024,3,164
18-01,889,3057,4,171
18-02,2410,1984,0,187
18-03,873,1276,1,91
18-04,1851,1868,3,149
18-05,2092,2503,0,204
18-06,1054,2459,2,162
18-07,1780,1369,1,130
18-08,1447,2332,1,184
19-03,1436,1312,3,132
19-05,1774,1210,2,138
19-07,2002,1935,0,185
19-09,2346,1908,2,188
19-11,1399,1571,1,160
19-12,3032,3211,2,269
19-13,770,1175,2,88
19-14,1229,1495,0,107
19-15,1313,1351,0,111
19-16,1083,1337,2,78
19-17,1489,3260,2,170
19-18,1414,1507,2,135
19-19,3242,2670,4,250
19-20,1555,1632,1,110
19-21,1912,2644,3,157
20-01,1271,1999,0,135
20-03,1669,2158,2,194
20-04,1196,2001,5,160
20-05,1706,2079,2,177
20-06A,1742,2705,1,222
20-06B,1433,1828,1,152
20-08,1872,2451,1,224
20-09,1054,1448,3,103
20-10,1046,1833,1,145
20-11,2006,2676,3,236
20-12,1982,2823,2,222
20-14,2115,3929,6,267
20-15,1137,2720,1,178
20-16,1090,2520,2,186
20-17,1458,2508,2,174
