id,Lori G. Christian,under
01-01,1389,304
01-02,1361,368
01-03,1216,640
01-05,711,424
01-06,2097,550
01-07,1918,452
01-07A,198,50
01-11,1433,996
01-16,1996,688
01-29,1502,821
01-33,1199,468
01-49,2293,493
04-01,1473,552
04-02,1674,660
04-03,1416,451
04-04,1104,392
04-05,2462,962
04-06,1910,868
04-07,1566,1069
04-08,1743,545
04-09,1605,744
04-10,1865,767
04-11,1042,374
04-12,1818,815
04-14,1080,516
04-15,1699,669
04-16,1454,490
04-17,1249,439
04-18,1942,724
04-20,2119,725
04-21,1257,363
05-05,5003,1649
06-05,1696,1314
06-07,2128,1077
07-01,1138,423
07-10,3579,1194
08-03,3610,1459
08-08,2784,1331
08-10,1917,729
08-11,2682,1073
11-01,3805,1316
11-02,3054,1199
12-01,3356,2527
12-02,3002,1483
12-04,2545,2013
12-05,4552,2796
12-06,2382,1534
12-07,1612,1140
12-09,2961,1899
15-01,2175,1735
15-02,3388,1908
15-03,2474,2158
15-04,1270,915
16-01,1722,942
16-05,1429,830
16-09,2718,1205
18-02,2645,1936
18-03,1531,710
18-05,3104,1695
20-03,2709,1314
20-05,2619,1345
20-09,1800,811
