id,Vartan A. (Woofer) Davidian III,under
01-42,1598,985
01-47,1232,820
02-01,1904,1095
02-02,3712,1853
02-03,1925,909
02-04,1546,752
02-05,639,359
02-06,1704,794
07-02,900,665
07-06,2068,1341
07-07,1942,1464
07-07A,264,264
08-04,1032,643
08-05,1190,807
08-07,1613,839
09-01,1339,785
09-03,2129,1295
10-01,815,356
13-10,3358,2194
13-11,1832,1132
14-01,546,214
14-02,4812,1814
19-03,1890,993
19-05,2167,957
19-07,2666,1456
19-09,2967,1477
19-11,1967,1164
19-12,4182,2329
19-13,1131,904
19-14,1761,1070
19-15,1760,1015
19-18,1989,1069
19-19,4149,2017
19-20,2125,1171
19-21,2840,1876
