id,Debra Ann Smith Sasser,under
01-01,1359,332
01-02,1319,410
01-03,1198,658
01-05,696,439
01-06,2046,601
01-07,1868,505
01-07A,181,65
01-11,1397,1033
01-16,1937,747
01-29,1449,874
01-33,1174,493
01-49,2198,588
04-01,1424,601
04-02,1622,712
04-03,1360,507
04-04,1071,425
04-05,2389,1035
04-06,1828,953
04-07,1533,1102
04-08,1696,592
04-09,1549,800
04-10,1803,829
04-11,1007,412
04-12,1763,872
04-14,1052,544
04-15,1648,723
04-16,1412,532
04-17,1211,477
04-18,1884,782
04-20,2049,795
04-21,1219,401
05-05,4845,1807
06-05,1654,1356
06-07,2042,1163
07-01,1092,469
07-10,3485,1288
08-03,3498,1571
08-08,2701,1412
08-10,1843,803
08-11,2598,1157
11-01,3676,1445
11-02,2954,1299
12-01,3248,2635
12-02,2877,1608
12-04,2437,2121
12-05,4392,2956
12-06,2309,1607
12-07,1562,1194
12-09,2857,2003
15-01,2169,1741
15-02,3269,2029
15-03,2436,2196
15-04,1265,920
16-01,1703,961
16-05,1417,842
16-09,2686,1237
18-02,2587,1994
18-03,1483,758
18-05,3023,1777
20-03,2625,1398
20-05,2556,1408
20-09,1760,848
