id,Al Pisano,Dan Forest,Roy Cooper,Steven J. DiFiore,over,under
01-01,5,302,1344,23,1,16
01-02,5,342,1350,18,0,14
01-03,2,648,1177,19,0,10
01-04,7,372,777,9,0,3
01-05,2,424,698,6,0,5
01-06,6,595,2000,30,0,16
01-07,6,482,1831,33,0,17
01-07A,3,34,199,2,0,6
01-09,6,210,884,12,1,8
01-10,0,381,1014,9,1,10
01-11,1,1061,1335,11,3,17
01-12,8,533,1205,19,1,12
01-13,5,216,1214,15,0,2
01-14,6,464,2853,33,3,19
01-15,6,766,1304,28,1,21
01-16,4,725,1901,27,1,26
01-17,7,426,570,8,1,9
01-18,16,723,1630,22,1,15
01-19,2,62,1370,16,2,10
01-20,5,241,2032,37,1,15
01-21,10,783,2732,59,0,26
01-22,14,157,3127,27,4,17
01-23,12,625,2670,64,2,27
01-25,2,31,461,10,0,8
01-26,7,103,1596,25,0,12
01-27,6,292,1657,34,0,11
01-28,15,483,3266,41,1,28
01-29,3,865,1435,11,1,8
01-30,5,427,800,15,2,6
01-31,19,441,2341,76,1,40
01-32,19,499,1742,42,0,22
01-33,2,480,1163,10,1,11
01-34,5,51,1142,16,0,12
01-35,5,64,1668,25,1,12
01-36,3,974,1480,20,0,23
01-37,7,637,1073,32,0,12
01-38,6,492,1421,25,0,21
01-39,8,616,1670,50,2,22
01-40,11,207,3097,39,2,19
01-41,9,351,1505,35,2,31
01-42,17,1115,1419,20,3,14
01-43,11,557,1478,31,0,22
01-44,16,831,2271,48,3,28
01-45,7,492,1009,26,1,18
01-46,10,308,1935,36,0,26
01-47,5,806,1198,27,1,15
01-48,6,372,1576,26,0,11
01-49,13,544,2121,71,0,37
01-50,12,148,2376,29,0,23
01-51,5,362,638,10,0,5
02-01,7,1241,1711,24,1,15
02-02,12,2613,2874,42,1,23
02-03,11,1365,1410,33,1,16
02-04,5,1087,1168,22,1,15
02-05,6,416,562,8,0,10
02-06,5,1212,1252,19,0,10
03-00,20,2435,3421,57,3,39
04-01,9,562,1400,32,1,21
04-02,13,699,1576,23,1,22
04-03,8,494,1323,26,0,16
04-04,6,444,1010,28,0,8
04-05,7,1002,2351,45,1,18
04-06,10,836,1889,15,0,27
04-07,3,1164,1440,16,1,11
04-08,10,543,1694,26,1,14
04-09,6,803,1498,26,0,16
04-10,11,820,1754,30,2,15
04-11,11,349,1021,17,0,17
04-12,16,835,1730,25,0,26
04-13,23,1303,2939,60,0,33
04-14,5,517,1035,30,0,9
04-15,11,711,1592,38,3,13
04-16,9,511,1370,39,1,14
04-17,5,449,1192,27,1,14
04-18,10,769,1836,38,0,13
04-19,7,504,1121,30,0,11
04-20,7,776,1981,55,1,24
04-21,7,382,1179,36,1,15
05-01,11,1229,2508,53,3,35
05-03,12,1248,2500,35,1,39
05-05,20,1798,4707,84,0,43
05-06,13,1463,3192,33,2,24
05-07,25,1525,4866,61,4,72
05-08,13,725,2637,51,1,30
06-04,16,1364,2343,67,1,25
06-05,15,1454,1494,25,1,21
06-06,19,2322,3556,81,2,46
06-07,19,1182,1940,43,2,19
06-08,8,717,1293,44,1,18
06-09,17,2979,3780,91,2,35
06-10,15,1720,1838,49,2,26
07-01,3,422,1101,22,0,13
07-02,8,495,1031,14,2,16
07-03,5,497,991,20,0,9
07-04,12,972,2718,70,0,27
07-05,11,528,1146,26,0,10
07-06,6,1228,2113,34,1,27
07-07,8,1150,2186,42,0,20
07-07A,0,142,371,1,0,14
07-09,7,871,2078,43,1,30
07-10,12,1318,3355,62,1,25
07-11,4,395,694,7,0,6
07-12,11,669,1793,32,2,23
07-13,8,654,1374,33,0,12
08-02,11,1223,2476,46,0,29
08-03,18,1579,3348,87,1,36
08-04,9,707,925,22,0,11
08-05,3,758,1215,16,0,7
08-06,5,399,1551,38,0,17
08-07,5,1057,1333,35,4,16
08-08,7,1462,2573,38,1,31
08-09,8,561,1207,35,0,18
08-10,7,785,1803,35,1,15
08-11,16,1143,2537,29,2,28
09-01,5,1099,991,18,0,11
09-02,14,1022,1901,37,1,11
09-03,6,1611,1764,27,0,16
10-01,5,714,441,3,0,8
10-02,14,1435,1999,44,0,19
10-03,15,949,1411,30,0,14
10-04,23,2762,4624,96,1,31
11-01,25,1473,3510,84,0,29
11-02,9,1261,2900,47,2,34
12-01,21,3016,2714,85,2,45
12-02,17,1864,2502,75,0,27
12-04,12,2614,1842,58,1,31
12-05,24,3397,3797,86,2,42
12-06,16,1846,1976,49,4,25
12-07,16,1377,1302,41,0,16
12-08,20,1736,2511,79,1,35
12-09,16,2302,2441,62,2,37
13-01,24,867,3638,72,3,42
13-02,4,722,1179,18,0,13
13-05,9,419,1474,32,0,16
13-06,11,956,1814,37,2,22
13-07,8,541,1591,26,0,12
13-08,11,453,2076,40,1,30
13-09,16,805,3077,56,0,30
13-10,18,1948,3504,42,1,39
13-11,4,1186,1726,29,0,18
14-01,6,443,298,8,0,6
14-02,19,3681,2819,64,2,41
15-01,18,2075,1751,49,0,19
15-02,22,2383,2795,68,0,26
15-03,14,2531,2014,49,1,23
15-04,9,1088,1056,26,0,9
16-01,18,1071,1510,43,2,20
16-02,32,677,3397,51,1,34
16-03,8,431,872,25,1,12
16-04,14,956,1482,27,1,18
16-05,11,918,1294,27,1,8
16-06,9,344,808,21,1,8
16-07,9,1117,1884,39,0,15
16-09,14,1313,2513,55,2,26
16-10,20,482,3656,52,1,27
16-11,6,442,2437,26,1,25
17-01,6,545,1695,31,0,20
17-02,8,594,867,11,1,10
17-03,31,1432,4194,73,1,33
17-04,19,1715,4278,55,0,37
17-05,13,779,2642,37,2,29
17-06,6,867,1156,16,1,20
17-07,20,406,2766,27,1,22
17-09,19,264,2996,48,2,10
17-10,4,330,760,13,0,5
17-11,28,821,3018,52,2,45
17-12,13,658,2324,50,0,24
17-13,19,1423,3208,62,2,28
18-01,14,775,3190,98,1,43
18-02,10,2186,2310,53,1,21
18-03,8,763,1436,19,0,15
18-04,5,1661,2133,42,0,30
18-05,15,1809,2902,46,0,29
18-06,9,931,2625,78,1,35
18-07,16,1598,1597,35,2,32
18-08,13,1230,2636,48,2,36
19-03,23,1296,1493,46,0,25
19-05,4,1659,1406,31,0,24
19-07,19,1849,2165,44,1,44
19-09,20,2239,2124,36,0,25
19-11,11,1284,1766,44,1,25
19-12,25,2804,3556,68,2,56
19-13,5,694,1280,32,1,23
19-14,6,1095,1673,30,0,27
19-15,6,1204,1515,33,1,16
19-16,9,1012,1436,29,0,14
19-17,21,1330,3466,75,3,26
19-18,13,1279,1703,36,0,27
19-19,12,2898,3160,63,1,32
19-20,8,1406,1834,28,0,18
19-21,14,1719,2882,59,1,41
20-01,22,1130,2182,49,0,22
20-03,11,1470,2460,50,0,32
20-04,17,1009,2275,36,0,29
20-05,9,1497,2388,45,1,24
20-06A,20,1470,3070,67,0,43
20-06B,8,1246,2093,50,0,17
20-08,15,1656,2773,71,1,32
20-09,8,918,1629,32,1,20
20-10,8,859,2094,26,0,38
20-11,16,1763,3036,66,3,37
20-12,11,1707,3215,54,1,41
20-14,12,1795,4399,61,0,50
20-15,8,934,3022,42,1,29
20-16,13,935,2757,54,0,39
20-17,8,1209,2853,46,3,23
