id,Frann Sarpolus,Rosa U. Gill,Sammie Brooks,over,under
01-21,749,2485,218,2,156
01-22,154,3012,98,0,82
01-25,29,440,23,1,17
01-26,96,1506,73,2,62
01-27,269,1546,104,0,81
01-35,75,1597,54,1,48
01-50,147,2271,87,1,82
15-01,292,249,36,0,19
15-02,953,778,86,1,70
15-04,1080,943,101,2,59
16-01,1069,1339,148,0,108
16-02,682,3213,155,2,140
16-03,431,815,56,1,47
16-04,1001,1323,80,0,94
16-05,926,1159,98,1,75
16-06,352,722,69,0,48
16-07,1141,1681,135,0,107
16-09,1286,2286,206,1,144
16-10,489,3493,142,1,113
16-11,438,2336,88,0,75
