id,Grier Martin,Michael C. Munger,Ronald L. Smith,over,under
01-10,955,37,384,0,39
01-11,1128,52,1154,1,93
01-12,1050,65,592,0,68
01-15,1134,79,799,1,113
01-17,501,40,444,0,36
01-18,1450,91,770,0,96
01-30,710,44,459,2,39
01-36,1235,107,1051,1,106
01-37,931,75,693,0,63
01-39,1479,146,626,1,116
01-42,1220,107,1165,2,89
01-43,1320,119,579,1,80
01-44,2030,146,880,2,139
01-45,895,85,514,2,57
01-47,1009,73,896,3,71
01-51,556,49,376,1,38
02-01,1413,133,1340,0,113
02-05,469,36,466,0,31
02-06,1011,78,1321,1,90
07-04,2444,214,1000,1,140
07-05,1013,79,569,1,59
07-06,1792,117,1355,1,144
07-07,1865,162,1248,2,129
07-07A,290,2,179,0,57
07-11,603,30,428,0,43
07-13,1213,92,698,3,75
08-05,1004,75,845,1,75
08-07,1083,119,1158,1,89
