id,Cynthia Ball,David Robertson,Dee Watson,over,under
01-01,1232,327,78,1,52
01-02,1220,380,60,1,68
01-03,1001,719,57,2,77
01-04,652,408,44,1,59
01-05,565,466,32,0,72
01-06,1779,635,135,4,94
01-07,1649,496,132,1,91
01-07A,190,36,5,0,12
01-09,804,227,42,1,44
01-16,1689,770,114,3,108
01-29,1222,958,64,0,79
01-33,1025,517,53,1,71
04-05,2069,1102,133,0,120
04-08,1502,592,100,1,92
04-17,1053,460,103,1,71
04-18,1204,571,78,2,75
04-21,1073,378,105,3,61
07-01,992,440,75,0,54
07-02,884,550,55,0,74
07-03,855,539,65,1,62
07-09,1796,958,166,1,109
07-10,1730,672,156,0,116
07-12,1626,690,97,2,115
08-02,739,304,56,1,52
08-06,1405,408,124,3,70
08-09,1051,582,105,0,91
08-10,1125,501,92,0,69
11-01,3090,1528,273,0,230
11-02,2599,1350,153,2,149
