id,Bruce Basson,Julie von Haefen,Kim Coley,over,under
04-06,78,1629,939,0,131
04-07,77,1254,1217,0,87
04-10,98,1539,885,1,109
04-12,91,1525,921,1,94
04-14,74,904,566,0,52
04-16,84,1211,528,2,62
04-19,68,796,443,0,43
06-07,121,1689,1281,0,114
12-05,241,3301,3562,5,239
12-07,135,1114,1429,1,73
15-02,149,1664,1497,0,99
18-02,163,1948,2317,1,152
18-03,74,1278,809,0,80
18-04,81,1030,990,0,79
18-05,131,2522,1988,2,156
18-07,125,1391,1662,1,101
18-08,83,1331,855,2,75
20-01,144,1946,1198,2,115
20-05,110,2115,1592,3,144
20-09,88,1457,977,2,84
