id,Erin Pare,Liam Leaver,Mrs. Sydney Batch,over,under
03-00,101,2,92,0,8
06-04,1527,134,2063,1,91
06-05,1647,58,1216,1,88
06-06,2650,160,3026,3,187
06-08,792,77,1137,0,75
06-09,3359,191,3118,4,232
06-10,1865,103,1565,3,114
12-01,3258,175,2267,7,176
12-02,2022,175,2178,0,110
12-04,2765,119,1552,2,120
12-06,2023,124,1644,3,122
12-08,1852,151,2205,1,171
12-09,2536,134,2034,1,155
15-01,1880,120,1234,1,79
15-03,2669,142,1702,2,117
20-03,1628,133,2093,2,167
20-06A,1174,114,1941,3,136
20-08,1388,96,1775,1,121
