id,Gale Adcock,Guy Meilleur,Scott Populorum,over,under
03-00,2886,181,2460,1,244
04-08,4,0,1,0,0
04-09,1349,59,858,0,83
04-13,2695,120,1365,0,173
04-18,456,27,231,1,26
04-19,195,9,107,0,13
05-01,2295,132,1266,2,144
05-03,2248,107,1344,1,135
05-06,2831,111,1583,3,199
05-07,1549,78,618,2,95
20-04,2036,109,1086,0,132
20-06A,723,56,460,3,60
20-06B,1871,115,1300,0,128
20-08,672,46,392,0,58
20-10,1903,63,938,2,119
20-11,2689,159,1875,2,196
20-12,2860,141,1825,1,202
20-14,3937,182,1951,4,243
20-15,2714,125,1028,0,169
20-16,2498,135,998,1,166
20-17,2529,104,1354,2,153
