id,E.C. Sykes,Elaine Marshall,over,under
01-01,332,1310,0,51
01-02,366,1304,0,59
01-03,675,1121,0,60
01-04,380,750,1,36
01-05,446,646,0,46
01-06,625,1948,0,74
01-07,521,1774,1,73
01-07A,35,198,0,10
01-09,236,858,0,27
01-10,369,1016,1,29
01-11,1069,1284,1,74
01-12,545,1173,0,57
01-13,224,1198,1,29
01-14,514,2781,1,82
01-15,790,1252,0,84
01-16,734,1867,0,83
01-17,439,551,1,27
01-18,756,1585,1,65
01-19,78,1359,0,25
01-20,268,2007,0,56
01-21,810,2700,1,99
01-22,189,3110,1,46
01-23,647,2606,0,147
01-25,40,458,1,15
01-26,130,1570,0,44
01-27,315,1631,0,54
01-28,533,3217,0,84
01-29,881,1391,0,51
01-30,447,776,0,29
01-31,481,2337,0,100
01-32,522,1732,0,70
01-33,494,1120,1,52
01-34,54,1146,0,24
01-35,89,1660,0,30
01-36,1023,1402,0,75
01-37,670,1049,0,41
01-38,498,1407,0,60
01-39,629,1663,0,76
01-40,225,3096,1,53
01-41,378,1487,0,68
01-42,1151,1365,1,66
01-43,587,1450,0,62
01-44,866,2230,2,99
01-45,528,983,0,42
01-46,337,1922,0,56
01-47,860,1136,1,55
01-48,396,1546,0,49
01-49,592,2112,0,82
01-50,168,2373,0,47
01-51,361,631,0,28
02-01,1340,1566,0,93
02-02,2780,2646,0,139
02-03,1411,1343,1,78
02-04,1163,1084,1,50
02-05,451,523,1,25
02-06,1271,1174,0,53
03-00,2596,3152,0,227
04-01,611,1358,0,58
04-02,720,1544,0,70
04-03,542,1269,0,56
04-04,469,980,0,47
04-05,1105,2226,1,92
04-06,880,1802,0,97
04-07,1217,1356,0,62
04-08,614,1598,0,76
04-09,902,1375,0,72
04-10,898,1659,0,75
04-11,389,996,0,37
04-12,887,1668,0,79
04-13,1451,2746,0,156
04-14,555,993,0,48
04-15,756,1550,0,62
04-16,545,1340,0,59
04-17,462,1165,0,61
04-18,830,1746,0,90
04-19,548,1068,0,58
04-20,820,1933,0,91
04-21,399,1169,1,51
05-01,1328,2395,0,116
05-03,1368,2355,1,111
05-05,1940,4511,2,199
05-06,1619,2940,0,168
05-07,1750,4584,1,218
05-08,829,2525,0,103
06-04,1474,2227,0,115
06-05,1546,1369,0,97
06-06,2534,3272,0,220
06-07,1281,1817,0,107
06-08,757,1246,1,77
06-09,3243,3383,0,278
06-10,1783,1745,0,122
07-01,441,1079,2,39
07-02,538,973,0,52
07-03,522,968,1,33
07-04,1015,2673,0,111
07-05,570,1109,1,41
07-06,1293,2012,0,104
07-07,1223,2098,0,85
07-07A,159,338,0,31
07-09,951,1994,0,85
07-10,1408,3212,0,153
07-11,392,677,0,37
07-12,684,1765,0,81
07-13,684,1342,0,55
08-02,1300,2365,0,120
08-03,1710,3196,0,163
08-04,781,857,0,39
08-05,798,1155,0,49
08-06,421,1534,0,56
08-07,1097,1288,0,65
08-08,1574,2380,1,159
08-09,607,1148,1,73
08-10,852,1717,0,77
08-11,1231,2402,3,119
09-01,1069,1008,0,47
09-02,1005,1914,1,66
09-03,1571,1775,1,77
10-01,681,457,0,33
10-02,1428,2003,2,76
10-03,919,1441,0,59
10-04,2784,4597,1,155
11-01,1555,3388,0,178
11-02,1307,2829,0,117
12-01,3086,2610,2,185
12-02,1937,2419,0,129
12-04,2686,1759,1,112
12-05,3539,3580,1,228
12-06,1900,1897,1,118
12-07,1426,1263,1,62
12-08,1803,2404,0,173
12-09,2403,2278,2,177
13-01,937,3600,1,108
13-02,768,1101,1,66
13-05,421,1472,0,57
13-06,1030,1731,0,81
13-07,550,1572,1,55
13-08,504,2051,0,56
13-09,847,3046,0,91
13-10,2114,3267,0,171
13-11,1235,1649,2,77
14-01,450,295,0,16
14-02,3845,2631,1,149
15-01,2084,1746,0,80
15-02,2446,2711,0,137
15-03,2588,1935,0,109
15-04,1089,1054,1,45
16-01,1069,1514,1,80
16-02,679,3412,1,100
16-03,442,872,0,35
16-04,967,1464,0,68
16-05,912,1291,0,56
16-06,355,804,0,32
16-07,1144,1856,0,64
16-09,1332,2480,0,111
16-10,501,3667,0,70
16-11,457,2432,0,48
17-01,556,1697,0,44
17-02,583,881,1,26
17-03,1498,4130,0,134
17-04,1750,4217,0,137
17-05,829,2576,1,96
17-06,846,1165,2,53
17-07,445,2743,0,54
17-09,286,2998,1,54
17-10,353,741,0,23
17-11,898,2975,1,92
17-12,692,2296,0,81
17-13,1477,3158,1,110
18-01,851,3148,0,122
18-02,2271,2179,0,131
18-03,830,1345,0,66
18-04,1706,2060,1,104
18-05,1968,2679,0,152
18-06,965,2588,0,124
18-07,1667,1516,1,96
18-08,1350,2478,1,135
19-03,1362,1419,0,102
19-05,1682,1352,1,89
19-07,1959,2037,1,125
19-09,2239,2080,0,125
19-11,1345,1685,0,101
19-12,2901,3414,0,196
19-13,722,1244,0,69
19-14,1178,1569,0,84
19-15,1265,1439,0,71
19-16,1015,1424,1,60
19-17,1418,3382,0,121
19-18,1341,1623,1,93
19-19,3056,2929,1,180
19-20,1449,1779,0,71
19-21,1796,2788,1,131
20-01,1211,2085,0,109
20-03,1572,2306,0,145
20-04,1115,2132,1,116
20-05,1597,2237,0,130
20-06A,1651,2843,0,176
20-06B,1349,1937,1,127
20-08,1782,2602,0,164
20-09,997,1528,0,83
20-10,952,1953,1,121
20-11,1921,2825,0,175
20-12,1891,2976,0,162
20-14,2003,4112,0,202
20-15,1088,2815,0,133
20-16,1046,2611,0,141
20-17,1401,2611,1,129
