id,Wiley Nickel,Will Marsh,over,under
01-02,1250,392,2,85
01-16,1727,839,3,115
01-29,1196,1023,0,104
01-32,1659,572,0,93
01-33,1047,543,1,76
01-49,2056,615,3,112
04-01,1288,658,1,79
04-02,1462,791,0,81
04-03,1231,561,3,72
04-04,944,489,1,62
04-05,2136,1166,3,119
04-06,1666,986,1,124
04-08,1541,654,0,93
04-09,1337,930,3,79
04-11,976,390,2,48
04-12,1554,971,1,107
04-17,1100,515,2,71
04-18,1693,870,2,101
04-20,1856,870,3,115
04-21,1125,430,2,63
05-01,2288,1400,6,145
05-03,2262,1421,3,149
05-05,4333,2052,4,263
05-06,2834,1703,2,188
05-07,4420,1860,6,267
05-08,2444,877,4,132
07-01,1013,485,4,59
07-02,904,586,2,71
07-07,1957,1319,0,130
07-07A,282,181,0,65
07-09,1863,1040,2,125
07-10,3101,1478,3,191
07-12,1653,750,2,125
08-02,2218,1386,3,178
08-03,3050,1805,2,212
08-05,1063,851,1,83
08-06,1476,456,2,76
08-09,1104,634,1,90
08-10,1628,913,1,104
08-11,2284,1303,0,168
11-01,3215,1662,5,239
11-02,2632,1448,6,167
18-03,1293,859,4,89
18-08,2376,1410,0,179
