id,Mark Cavaliero,Sam Searcy,Travis Groo,over,under
03-00,2743,2810,189,3,230
04-07,1323,1168,55,0,89
04-10,934,1463,138,0,97
04-13,1545,2476,154,1,177
04-14,575,869,97,0,55
04-15,764,1407,117,0,80
04-16,578,1199,101,0,67
04-19,595,941,80,2,55
06-04,1499,2011,177,1,128
06-05,1589,1225,89,1,106
06-06,2620,2967,224,2,213
06-07,1331,1644,124,0,106
06-08,777,1123,98,0,83
06-09,3318,3062,235,2,287
06-10,1804,1558,145,2,141
12-01,3196,2284,209,1,193
12-02,1969,2181,204,1,130
12-04,2747,1502,167,0,142
12-05,3646,3221,244,2,235
12-06,1974,1663,146,0,133
12-07,1453,1094,129,0,76
12-08,1835,2168,188,1,188
12-09,2486,2028,169,0,177
15-03,2656,1677,163,1,135
18-02,2408,1860,161,0,152
18-05,2082,2417,124,0,176
18-07,1711,1337,124,2,107
20-01,1286,1882,121,1,115
20-03,1657,2059,155,1,151
20-04,1188,1916,131,0,127
20-05,1730,1997,104,1,132
20-06A,1707,2588,184,0,191
20-06B,1414,1751,128,1,120
20-08,1845,2353,182,2,166
20-09,1062,1380,84,1,81
20-10,1048,1768,91,0,119
20-11,2041,2524,181,1,174
20-12,1924,2750,172,1,182
20-14,2084,3780,211,4,238
20-15,1102,2623,149,1,161
20-16,1060,2421,153,0,164
20-17,1470,2423,107,0,142
