id,Alan David Michael,Dan Blue,Justin Walczak,over,under
01-01,310,1237,90,1,52
01-07,482,1675,130,0,82
01-07A,33,193,5,0,12
01-09,214,816,42,0,49
01-13,210,1147,56,0,41
01-14,469,2698,114,2,95
01-19,56,1345,35,0,26
01-20,231,1944,95,0,61
01-21,745,2522,207,1,135
01-22,160,3025,89,1,71
01-23,580,2460,201,0,159
01-25,34,440,21,0,19
01-26,97,1518,70,0,54
01-27,274,1547,100,1,78
01-28,479,3081,161,2,111
01-31,434,2161,200,2,121
01-34,51,1109,39,0,26
01-35,68,1608,57,0,42
01-40,199,3004,92,3,77
01-41,342,1402,102,2,85
01-48,379,1455,99,0,58
01-50,141,2280,87,0,80
15-01,2065,1537,207,2,99
15-02,2377,2505,243,1,168
15-04,1076,965,90,0,58
16-01,1058,1357,151,1,97
16-02,670,3214,179,2,127
16-03,436,816,50,0,47
16-04,977,1355,77,2,87
16-05,916,1180,99,2,62
16-06,349,736,62,0,44
16-07,1122,1711,138,3,90
16-09,1295,2292,199,1,136
16-10,473,3510,142,3,110
16-11,422,2341,99,0,75
17-03,1421,3877,269,2,193
17-07,400,2653,117,2,70
17-09,272,2862,133,2,70
18-01,760,2931,264,0,166
18-04,1718,1882,144,0,127
18-06,896,2424,194,1,162
