id,Jay J. Chaudhuri,Kat McDonald,Mario J. Lomuscio,over,under
01-03,992,81,700,1,82
01-04,671,42,402,0,53
01-05,578,31,450,0,78
01-06,1803,145,610,0,89
01-10,921,45,396,0,53
01-11,1100,75,1140,0,113
01-12,1055,90,549,0,81
01-15,1150,90,780,1,105
01-17,500,38,444,1,38
01-18,1447,107,763,0,90
01-30,698,54,459,0,41
01-36,1229,129,1025,0,117
01-37,921,82,682,0,74
01-38,1287,96,501,1,80
01-39,1459,177,616,0,116
01-42,1201,122,1163,1,96
01-43,1298,137,582,2,80
01-44,2015,188,862,0,132
01-45,889,93,513,0,58
01-46,1781,126,328,1,79
01-47,1017,96,872,0,67
01-51,557,58,366,0,39
02-01,1419,141,1326,1,112
02-02,2383,257,2734,1,190
02-03,1159,130,1423,0,121
02-04,964,114,1155,0,65
02-05,470,43,453,1,32
02-06,1006,102,1305,0,85
07-03,862,62,541,1,55
07-04,2412,251,983,1,152
07-05,994,101,561,0,65
07-06,1788,136,1330,1,154
07-11,616,43,406,0,43
07-13,1218,115,672,0,76
08-04,791,87,736,0,58
08-07,1111,120,1128,0,93
08-08,2156,215,1545,0,195
13-01,3316,267,893,5,165
13-02,994,110,726,2,104
13-05,1333,122,421,1,73
13-06,1592,149,989,0,112
13-07,1449,106,553,2,68
13-08,1913,137,467,1,93
13-09,2806,218,834,1,125
13-10,2995,277,2064,3,213
13-11,1473,145,1219,1,125
14-01,256,37,440,0,30
14-02,2327,338,3749,0,217
17-01,1529,122,567,0,79
17-05,2398,154,811,0,139
17-10,668,55,346,0,43
17-11,2767,185,877,2,135
