id,Catherine Truitt,Jen Mangrum,over,under
01-01,365,1272,0,53
01-02,397,1253,0,79
01-03,768,1007,1,80
01-04,426,679,0,59
01-05,485,581,0,69
01-06,684,1863,0,99
01-07,575,1697,1,97
01-07A,40,189,0,14
01-09,250,826,0,41
01-10,449,913,0,53
01-11,1237,1074,1,116
01-12,635,1059,0,84
01-13,266,1138,0,48
01-14,570,2692,0,116
01-15,846,1168,1,111
01-16,824,1737,0,123
01-17,471,509,0,37
01-18,814,1497,0,96
01-19,93,1324,1,44
01-20,297,1957,0,77
01-21,888,2584,0,138
01-22,216,3049,0,84
01-23,688,2546,0,166
01-25,38,456,0,16
01-26,149,1525,0,68
01-27,347,1568,0,85
01-28,595,3118,0,121
01-29,1035,1209,1,78
01-30,516,685,0,50
01-31,535,2265,1,117
01-32,576,1651,1,96
01-33,540,1053,2,72
01-34,71,1123,0,33
01-35,104,1621,0,51
01-36,1125,1261,1,113
01-37,749,943,0,66
01-38,561,1328,0,76
01-39,705,1547,0,116
01-40,273,3016,2,84
01-41,391,1458,0,84
01-42,1258,1226,1,98
01-43,649,1370,0,80
01-44,956,2092,1,148
01-45,559,924,1,69
01-46,383,1850,0,82
01-47,923,1042,0,87
01-48,457,1474,2,65
01-49,620,2060,0,106
01-50,203,2303,0,82
01-51,402,576,0,42
02-01,1409,1467,0,123
02-02,2927,2442,2,194
02-03,1522,1197,0,117
02-04,1240,984,1,73
02-05,477,489,1,33
02-06,1382,1018,0,98
03-00,2723,2985,1,266
04-01,663,1280,0,82
04-02,811,1429,1,93
04-03,594,1202,0,71
04-04,495,942,0,59
04-05,1221,2077,0,126
04-06,998,1650,1,128
04-07,1307,1220,0,108
04-08,651,1535,0,102
04-09,947,1301,1,100
04-10,952,1558,1,121
04-11,407,957,0,52
04-12,981,1559,0,95
04-13,1601,2551,0,201
04-14,607,921,0,68
04-15,820,1457,1,90
04-16,607,1261,0,76
04-17,511,1099,1,77
04-18,873,1679,0,114
04-19,612,993,0,66
04-20,875,1849,0,120
04-21,435,1118,2,65
05-01,1398,2283,1,157
05-03,1470,2218,0,147
05-05,2059,4334,1,258
05-06,1752,2770,1,204
05-07,1874,4397,2,280
05-08,889,2426,1,141
06-04,1537,2135,0,144
06-05,1617,1272,1,120
06-06,2621,3149,2,254
06-07,1362,1708,1,134
06-08,811,1186,0,84
06-09,3343,3230,0,331
06-10,1857,1652,0,141
07-01,481,1014,2,64
07-02,599,888,0,76
07-03,578,895,0,49
07-04,1115,2532,0,152
07-05,628,1041,1,51
07-06,1443,1831,0,135
07-07,1315,1943,0,148
07-07A,186,286,0,56
07-09,1033,1878,1,118
07-10,1476,3100,1,196
07-11,443,615,0,50
07-12,759,1659,0,112
07-13,739,1258,1,83
08-02,1397,2233,0,155
08-03,1832,3042,1,194
08-04,795,825,1,56
08-05,866,1051,0,81
08-06,483,1465,0,62
08-07,1219,1142,1,88
08-08,1710,2232,0,172
08-09,645,1101,0,83
08-10,948,1599,2,97
08-11,1313,2276,2,164
09-01,1137,902,1,84
09-02,1086,1795,1,104
09-03,1690,1627,0,107
10-01,722,399,1,49
10-02,1541,1849,1,118
10-03,1015,1322,0,82
10-04,2979,4319,1,238
11-01,1659,3214,1,247
11-02,1473,2603,0,177
12-01,3278,2369,1,235
12-02,2034,2282,0,169
12-04,2784,1612,2,160
12-05,3717,3352,0,279
12-06,2024,1735,1,156
12-07,1496,1179,0,77
12-08,1873,2299,1,207
12-09,2517,2138,3,202
13-01,1014,3472,1,159
13-02,807,1047,0,82
13-05,469,1402,1,78
13-06,1111,1615,0,116
13-07,599,1515,0,64
13-08,510,2009,0,92
13-09,911,2956,1,116
13-10,2261,3078,0,213
13-11,1318,1542,0,103
14-01,464,270,0,28
14-02,3983,2422,0,221
15-01,2204,1574,1,131
15-02,2598,2520,1,175
15-03,2709,1759,1,163
15-04,1160,968,0,61
16-01,1179,1378,0,107
16-02,762,3290,1,139
16-03,484,814,0,51
16-04,1082,1326,0,95
16-05,1010,1171,0,78
16-06,393,754,1,43
16-07,1248,1725,0,91
16-09,1423,2357,2,141
16-10,588,3544,1,105
16-11,487,2375,0,75
17-01,614,1607,0,76
17-02,629,813,1,48
17-03,1621,3937,1,203
17-04,1926,3981,2,195
17-05,905,2469,2,126
17-06,932,1059,0,75
17-07,507,2659,0,76
17-09,331,2921,2,85
17-10,372,698,0,42
17-11,959,2870,0,137
17-12,741,2230,0,98
17-13,1584,3002,0,156
18-01,892,3071,0,158
18-02,2426,1978,1,176
18-03,883,1272,0,86
18-04,1846,1867,1,157
18-05,2080,2529,1,189
18-06,1031,2488,1,157
18-07,1775,1380,0,125
18-08,1446,2345,0,173
19-03,1390,1351,0,142
19-05,1802,1208,1,113
19-07,2016,1923,1,182
19-09,2352,1901,0,191
19-11,1401,1589,0,141
19-12,3024,3237,2,248
19-13,759,1185,0,91
19-14,1223,1504,1,103
19-15,1316,1358,0,101
19-16,1077,1346,0,77
19-17,1522,3233,1,165
19-18,1415,1514,0,129
19-19,3217,2719,0,230
19-20,1534,1658,0,105
19-21,1878,2676,0,162
20-01,1295,1985,0,125
20-03,1662,2167,0,194
20-04,1188,2025,0,152
20-05,1697,2100,0,167
20-06A,1748,2706,1,215
20-06B,1403,1863,0,148
20-08,1840,2507,0,201
20-09,1044,1457,0,107
20-10,1041,1828,0,155
20-11,2027,2674,1,219
20-12,1987,2814,0,228
20-14,2183,3884,1,249
20-15,1134,2735,0,167
20-16,1121,2508,0,169
20-17,1456,2515,2,169
