id,Bryan Collins,under
01-28,3191,643
01-42,1548,1035
01-44,2315,882
01-47,1310,742
09-01,1253,871
09-02,2108,878
09-03,2145,1279
10-01,584,587
10-02,2296,1213
10-03,1689,730
10-04,5152,2385
13-01,912,276
13-02,1258,681
13-06,1947,895
13-08,2120,491
13-09,3140,844
15-01,2218,1692
15-03,2507,2125
15-04,1303,882
16-01,1768,896
16-04,1658,840
16-05,1467,792
16-07,2107,957
16-09,2774,1149
17-01,1741,556
17-02,1027,464
17-03,4359,1403
17-04,4506,1598
17-05,2674,828
19-16,1620,880
19-17,3651,1270
