id,Lucy Inman,"Phil Berger, Jr.",over,under
01-01,1294,351,2,47
01-02,1261,403,0,65
01-03,1058,739,0,59
01-04,709,420,2,33
01-05,623,468,0,45
01-06,1915,657,0,75
01-07,1774,518,0,80
01-07A,191,40,0,12
01-09,840,238,2,39
01-10,957,427,0,31
01-11,1164,1192,0,72
01-12,1109,610,1,55
01-13,1179,240,2,31
01-14,2762,529,2,85
01-15,1221,824,0,81
01-16,1782,807,1,94
01-17,520,464,1,33
01-18,1532,801,1,73
01-19,1355,78,1,28
01-20,1998,282,1,50
01-21,2626,866,3,115
01-22,3078,206,4,58
01-23,2590,668,0,142
01-25,466,32,0,12
01-26,1572,123,1,46
01-27,1633,306,2,59
01-28,3170,570,1,93
01-29,1270,991,2,60
01-30,732,483,3,36
01-31,2311,504,3,100
01-32,1696,560,1,67
01-33,1060,547,1,59
01-34,1141,64,1,20
01-35,1646,99,1,29
01-36,1331,1082,1,86
01-37,967,736,1,57
01-38,1358,543,0,64
01-39,1593,694,0,81
01-40,3077,238,3,57
01-41,1463,394,1,75
01-42,1268,1246,1,68
01-43,1406,626,1,66
01-44,2158,938,0,101
01-45,941,552,1,59
01-46,1902,363,0,50
01-47,1078,916,0,58
01-48,1503,430,2,56
01-49,2092,595,2,97
01-50,2335,186,1,66
01-51,596,395,1,28
02-01,1510,1392,3,94
02-02,2553,2857,3,152
02-03,1279,1465,1,90
02-04,1031,1222,1,44
02-05,498,477,1,25
02-06,1093,1325,1,79
03-00,3042,2671,4,258
04-01,1303,660,0,62
04-02,1471,791,1,71
04-03,1241,566,0,60
04-04,965,478,4,49
04-05,2150,1176,0,98
04-06,1669,1002,1,105
04-07,1296,1263,0,76
04-08,1558,640,1,89
04-09,1334,932,0,83
04-10,1601,946,2,83
04-11,974,395,1,46
04-12,1576,978,0,77
04-13,2677,1518,1,157
04-14,952,585,0,59
04-15,1515,772,2,79
04-16,1295,580,0,69
04-17,1129,498,2,59
04-18,1717,868,0,81
04-19,1008,606,1,56
04-20,1903,843,1,97
04-21,1143,425,2,50
05-01,2339,1375,4,121
05-03,2286,1421,1,127
05-05,4436,1998,5,213
05-06,2847,1693,4,183
05-07,4492,1821,3,237
05-08,2463,876,3,115
06-04,2174,1516,1,125
06-05,1311,1593,1,105
06-06,3225,2571,1,229
06-07,1764,1327,3,111
06-08,1214,783,0,84
06-09,3319,3273,1,311
06-10,1704,1808,0,138
07-01,1040,481,0,40
07-02,923,585,0,55
07-03,902,569,1,49
07-04,2587,1093,1,118
07-05,1062,613,2,44
07-06,1891,1397,6,115
07-07,1991,1314,0,101
07-07A,301,189,0,38
07-09,1916,1010,2,102
07-10,3187,1429,3,154
07-11,632,435,1,36
07-12,1693,743,2,92
07-13,1294,725,3,59
08-02,2284,1373,1,127
08-03,3125,1779,1,164
08-04,853,775,0,48
08-05,1087,843,0,69
08-06,1492,460,1,57
08-07,1181,1195,1,73
08-08,2305,1632,3,176
08-09,1135,611,1,82
08-10,1662,902,0,82
08-11,2315,1295,4,141
09-01,935,1129,1,59
09-02,1825,1071,2,88
09-03,1658,1687,1,78
10-01,392,742,3,34
10-02,1906,1509,1,93
10-03,1363,1001,1,57
10-04,4421,2923,2,191
11-01,3305,1616,0,200
11-02,2697,1424,1,131
12-01,2437,3253,4,189
12-02,2332,2016,0,140
12-04,1652,2762,2,142
12-05,3443,3661,1,243
12-06,1770,2012,1,133
12-07,1212,1471,1,68
12-08,2354,1834,2,190
12-09,2193,2496,1,170
13-01,3566,960,5,115
13-02,1064,794,3,75
13-05,1439,453,0,58
13-06,1666,1088,2,86
13-07,1526,595,2,55
13-08,2038,505,1,67
13-09,3006,875,4,99
13-10,3161,2205,4,182
13-11,1575,1299,3,86
14-01,271,467,0,23
14-02,2496,3962,0,168
15-01,1609,2198,3,100
15-02,2615,2540,0,139
15-03,1828,2687,0,117
15-04,997,1143,1,49
16-01,1421,1156,1,86
16-02,3335,755,0,102
16-03,841,472,1,35
16-04,1350,1067,0,82
16-05,1223,983,1,52
16-06,773,385,0,33
16-07,1762,1231,1,70
16-09,2419,1377,0,127
16-10,3596,570,1,71
16-11,2406,483,1,47
17-01,1641,591,1,64
17-02,831,616,1,43
17-03,4012,1590,3,157
17-04,4059,1877,5,163
17-05,2507,888,0,107
17-06,1111,895,1,59
17-07,2699,489,1,53
17-09,2961,309,3,66
17-10,713,369,1,29
17-11,2935,923,1,107
17-12,2269,729,1,70
17-13,3062,1550,1,129
18-01,3113,868,3,137
18-02,2058,2384,0,141
18-03,1317,851,1,72
18-04,1940,1815,3,113
18-05,2577,2065,3,154
18-06,2531,1011,0,135
18-07,1429,1739,1,111
18-08,2426,1397,2,139
19-03,1374,1399,2,108
19-05,1268,1750,1,105
19-07,1982,1983,5,153
19-09,1943,2351,1,149
19-11,1620,1389,2,120
19-12,3331,2966,4,210
19-13,1204,749,0,82
19-14,1531,1207,3,90
19-15,1398,1289,2,86
19-16,1349,1084,2,65
19-17,3293,1488,1,139
19-18,1556,1394,2,106
19-19,2808,3152,3,203
19-20,1696,1521,1,82
19-21,2728,1856,1,131
20-01,2065,1228,0,112
20-03,2228,1639,0,158
20-04,2055,1171,3,137
20-05,2141,1686,3,134
20-06A,2785,1693,1,191
20-06B,1896,1395,1,122
20-08,2545,1824,1,178
20-09,1471,1047,0,90
20-10,1878,1029,2,119
20-11,2771,1966,3,181
20-12,2913,1931,1,184
20-14,3998,2109,4,206
20-15,2793,1102,0,141
20-16,2567,1083,2,146
20-17,2566,1436,1,139
