id,Mark Davis,Tamara Barringer,over,under
01-01,1246,390,0,56
01-02,1241,414,1,73
01-03,1003,779,1,73
01-04,673,446,1,47
01-05,591,482,1,62
01-06,1857,696,2,92
01-07,1680,608,1,81
01-07A,193,35,0,15
01-09,814,263,1,43
01-10,915,457,0,43
01-11,1102,1227,2,97
01-12,1078,635,1,65
01-13,1152,263,0,37
01-14,2677,609,1,91
01-15,1158,874,3,91
01-16,1734,842,2,106
01-17,502,476,1,39
01-18,1497,824,2,84
01-19,1331,97,1,33
01-20,1955,320,1,55
01-21,2539,954,2,115
01-22,3039,257,3,47
01-23,2529,717,2,152
01-25,451,44,0,15
01-26,1528,162,0,51
01-27,1590,346,0,64
01-28,3119,607,3,105
01-29,1211,1027,3,82
01-30,714,486,1,50
01-31,2266,550,2,100
01-32,1653,598,0,73
01-33,1031,565,1,70
01-34,1124,75,0,26
01-35,1619,119,2,36
01-36,1256,1137,1,106
01-37,946,744,1,67
01-38,1358,546,0,61
01-39,1540,725,0,103
01-40,3025,288,1,61
01-41,1428,424,3,78
01-42,1260,1249,2,72
01-43,1375,646,0,78
01-44,2121,958,3,115
01-45,923,575,0,55
01-46,1865,390,2,58
01-47,1070,913,2,67
01-48,1450,476,2,63
01-49,2041,648,2,95
01-50,2310,210,1,67
01-51,579,410,1,30
02-01,1467,1437,2,93
02-02,2465,2932,5,167
02-03,1216,1519,0,101
02-04,1012,1231,0,55
02-05,474,497,1,27
02-06,1028,1387,2,81
03-00,2922,2798,0,255
04-01,1278,676,1,70
04-02,1442,814,1,77
04-03,1211,596,0,60
04-04,954,490,1,51
04-05,2102,1212,1,109
04-06,1612,1040,1,124
04-07,1214,1359,0,62
04-08,1520,678,2,88
04-09,1290,967,2,90
04-10,1541,997,2,92
04-11,938,427,2,48
04-12,1526,1023,1,83
04-13,2588,1594,2,174
04-14,921,614,0,61
04-15,1436,851,1,80
04-16,1259,610,1,74
04-17,1090,536,1,61
04-18,1663,915,1,87
04-19,998,618,1,58
04-20,1818,919,0,107
04-21,1125,439,2,54
05-01,2272,1442,0,125
05-03,2222,1492,2,119
05-05,4307,2123,4,218
05-06,2732,1793,2,200
05-07,4343,1953,6,251
05-08,2387,942,2,126
06-04,2098,1582,0,139
06-05,1240,1661,3,106
06-06,3093,2707,1,228
06-07,1679,1411,3,112
06-08,1165,833,0,83
06-09,3188,3408,3,305
06-10,1609,1909,3,129
07-01,1014,495,1,51
07-02,891,611,0,61
07-03,877,594,1,51
07-04,2514,1156,0,129
07-05,1033,634,0,54
07-06,1789,1474,5,141
07-07,1935,1358,1,112
07-07A,281,195,0,52
07-09,1871,1046,1,112
07-10,3027,1583,3,160
07-11,625,442,1,38
07-12,1662,763,2,103
07-13,1274,742,1,64
08-02,2213,1439,1,132
08-03,3026,1868,1,174
08-04,810,816,4,45
08-05,1045,882,1,70
08-06,1454,496,4,57
08-07,1163,1210,2,75
08-08,2216,1716,2,179
08-09,1089,657,0,83
08-10,1593,969,2,82
08-11,2245,1363,1,146
09-01,930,1128,1,65
09-02,1814,1080,3,89
09-03,1644,1695,1,84
10-01,400,729,0,42
10-02,1865,1540,3,101
10-03,1330,1026,1,62
10-04,4308,3013,3,213
11-01,3204,1703,4,210
11-02,2637,1473,1,142
12-01,2342,3339,1,201
12-02,2235,2108,2,140
12-04,1608,2806,1,143
12-05,3268,3828,1,251
12-06,1701,2070,1,144
12-07,1173,1506,1,72
12-08,2217,1972,2,189
12-09,2089,2588,3,180
13-01,3461,1056,3,126
13-02,1030,823,2,81
13-05,1399,490,0,61
13-06,1652,1091,1,98
13-07,1497,615,1,65
13-08,1998,546,1,66
13-09,2946,930,1,107
13-10,3083,2270,1,198
13-11,1507,1353,1,102
14-01,274,462,1,26
14-02,2431,4004,3,188
15-01,1558,2241,5,106
15-02,2509,2639,3,143
15-03,1764,2738,1,129
15-04,985,1154,1,48
16-01,1395,1181,2,86
16-02,3284,800,2,106
16-03,815,497,1,36
16-04,1326,1094,1,78
16-05,1196,997,1,65
16-06,748,401,0,42
16-07,1730,1251,2,81
16-09,2352,1440,1,130
16-10,3545,614,2,77
16-11,2363,521,0,53
17-01,1601,636,2,58
17-02,819,630,1,41
17-03,3889,1698,2,173
17-04,4007,1918,4,175
17-05,2462,926,3,111
17-06,1092,907,0,67
17-07,2644,539,2,57
17-09,2901,366,3,69
17-10,711,367,1,33
17-11,2857,1003,1,105
17-12,2194,800,2,73
17-13,2975,1625,1,141
18-01,3015,944,6,156
18-02,1981,2458,1,141
18-03,1256,905,1,79
18-04,1850,1899,1,121
18-05,2464,2165,4,166
18-06,2437,1088,2,150
18-07,1362,1810,3,105
18-08,2347,1469,2,146
19-03,1333,1434,0,116
19-05,1211,1802,2,109
19-07,1929,2034,3,157
19-09,1905,2365,5,169
19-11,1566,1422,1,142
19-12,3215,3065,2,229
19-13,1171,779,2,83
19-14,1484,1259,1,87
19-15,1350,1328,2,95
19-16,1362,1067,2,69
19-17,3210,1573,1,137
19-18,1510,1437,1,110
19-19,2686,3271,1,208
19-20,1623,1586,3,86
19-21,2651,1922,1,142
20-01,1967,1319,3,116
20-03,2132,1724,5,162
20-04,1991,1236,1,138
20-05,2041,1776,1,146
20-06A,2634,1849,3,184
20-06B,1796,1484,5,129
20-08,2459,1910,2,177
20-09,1427,1086,4,91
20-10,1805,1092,1,126
20-11,2639,2083,1,198
20-12,2795,2030,2,202
20-14,3890,2201,2,224
20-15,2676,1208,2,150
20-16,2487,1151,2,158
20-17,2476,1521,1,144
