id,Dale R. Folwell,Ronnie Chatterji,over,under
01-01,421,1214,2,55
01-02,483,1182,5,59
01-03,846,934,2,74
01-04,484,633,1,46
01-05,534,547,0,56
01-06,776,1780,4,87
01-07,662,1624,2,82
01-07A,38,189,1,15
01-09,294,785,2,39
01-10,513,861,1,40
01-11,1328,1011,4,85
01-12,673,1032,3,67
01-13,300,1113,3,36
01-14,675,2605,7,91
01-15,944,1078,2,102
01-16,951,1619,6,108
01-17,506,482,1,29
01-18,894,1433,3,77
01-19,120,1306,0,36
01-20,351,1928,3,49
01-21,979,2513,4,114
01-22,325,2948,7,66
01-23,769,2464,6,161
01-25,61,438,2,14
01-26,188,1495,1,59
01-27,415,1520,2,63
01-28,702,3021,9,102
01-29,1130,1131,1,61
01-30,546,662,1,46
01-31,607,2190,8,113
01-32,649,1595,2,78
01-33,611,988,2,66
01-34,106,1094,1,24
01-35,140,1598,5,32
01-36,1168,1234,4,94
01-37,808,894,1,59
01-38,609,1288,2,66
01-39,783,1488,2,95
01-40,325,2978,10,62
01-41,459,1383,6,85
01-42,1304,1193,5,81
01-43,710,1318,1,70
01-44,1042,2036,2,117
01-45,616,876,4,57
01-46,422,1822,6,65
01-47,991,988,6,67
01-48,527,1405,3,56
01-49,705,1988,1,92
01-50,240,2273,3,72
01-51,411,564,2,43
02-01,1505,1385,4,105
02-02,3039,2354,8,164
02-03,1590,1141,3,101
02-04,1273,967,3,55
02-05,503,466,2,31
02-06,1422,992,4,80
03-00,2870,2841,7,257
04-01,724,1228,5,68
04-02,856,1403,2,73
04-03,649,1160,2,56
04-04,501,934,3,58
04-05,1322,1988,5,109
04-06,1078,1568,1,130
04-07,1389,1159,3,84
04-08,715,1479,4,90
04-09,981,1292,4,72
04-10,1010,1528,3,91
04-11,435,933,2,45
04-12,1036,1509,3,87
04-13,1652,2515,5,182
04-14,652,879,1,64
04-15,871,1417,3,77
04-16,662,1206,2,74
04-17,576,1044,1,67
04-18,945,1609,2,110
04-19,667,945,1,59
04-20,942,1792,4,106
04-21,456,1107,2,55
05-01,1476,2226,1,136
05-03,1504,2194,5,132
05-05,2166,4267,4,218
05-06,1866,2657,4,200
05-07,1968,4347,8,230
05-08,956,2380,8,113
06-04,1621,2053,7,135
06-05,1682,1210,6,112
06-06,2789,2995,7,235
06-07,1402,1678,2,123
06-08,847,1140,4,90
06-09,3503,3074,2,328
06-10,1929,1581,2,138
07-01,554,964,1,42
07-02,645,855,3,60
07-03,639,837,1,42
07-04,1210,2449,7,133
07-05,673,995,2,51
07-06,1544,1739,4,122
07-07,1441,1851,3,113
07-07A,217,267,0,44
07-09,1121,1796,4,109
07-10,1649,2945,5,174
07-11,475,594,0,38
07-12,841,1585,2,102
07-13,795,1214,4,68
08-02,1504,2142,2,137
08-03,1938,2945,7,179
08-04,815,809,1,48
08-05,942,992,0,66
08-06,519,1421,2,71
08-07,1257,1115,1,77
08-08,1804,2116,7,189
08-09,707,1044,3,75
08-10,1020,1543,1,82
08-11,1400,2209,4,142
09-01,1173,885,1,65
09-02,1149,1737,4,96
09-03,1770,1565,7,82
10-01,759,380,2,30
10-02,1568,1831,6,104
10-03,1059,1290,2,68
10-04,3106,4228,13,190
11-01,1841,3062,7,211
11-02,1601,2500,4,148
12-01,3370,2288,10,215
12-02,2122,2211,3,149
12-04,2849,1561,12,136
12-05,3877,3195,3,275
12-06,2117,1652,6,141
12-07,1549,1125,2,76
12-08,2017,2179,1,183
12-09,2621,2047,2,190
13-01,1090,3419,10,127
13-02,861,989,2,84
13-05,520,1363,2,65
13-06,1188,1550,5,99
13-07,639,1477,3,59
13-08,574,1966,4,67
13-09,997,2866,7,114
13-10,2372,2968,8,204
13-11,1415,1432,6,110
14-01,476,260,0,25
14-02,4092,2327,14,193
15-01,2307,1500,3,100
15-02,2690,2439,9,156
15-03,2777,1727,3,125
15-04,1192,940,1,56
16-01,1229,1340,6,89
16-02,853,3221,5,113
16-03,508,807,0,34
16-04,1137,1284,2,80
16-05,1048,1143,3,65
16-06,415,732,5,39
16-07,1342,1647,3,72
16-09,1477,2301,6,139
16-10,686,3455,9,88
16-11,571,2315,4,47
17-01,684,1549,1,63
17-02,676,776,2,37
17-03,1772,3816,5,169
17-04,2059,3888,3,154
17-05,992,2403,5,102
17-06,952,1044,6,64
17-07,576,2602,6,58
17-09,399,2875,6,59
17-10,384,697,0,31
17-11,1026,2831,7,102
17-12,810,2172,7,80
17-13,1708,2900,5,129
18-01,1037,2926,15,143
18-02,2532,1886,7,156
18-03,926,1238,2,75
18-04,1967,1776,7,121
18-05,2185,2438,3,173
18-06,1123,2410,4,140
18-07,1841,1321,6,112
18-08,1503,2290,2,170
19-03,1468,1297,5,113
19-05,1810,1197,3,114
19-07,2093,1865,4,160
19-09,2403,1875,5,161
19-11,1479,1522,4,126
19-12,3185,3087,11,228
19-13,822,1132,0,81
19-14,1298,1443,5,85
19-15,1366,1313,2,94
19-16,1131,1297,7,65
19-17,1608,3149,13,151
19-18,1456,1483,3,116
19-19,3333,2608,4,221
19-20,1627,1570,4,97
19-21,1995,2569,12,140
20-01,1370,1911,5,119
20-03,1736,2095,2,190
20-04,1265,1967,0,130
20-05,1786,2022,9,147
20-06A,1837,2629,6,198
20-06B,1478,1789,5,142
20-08,1969,2381,8,190
20-09,1127,1380,3,98
20-10,1082,1807,4,131
20-11,2113,2605,7,196
20-12,2060,2780,8,181
20-14,2207,3888,6,219
20-15,1198,2673,8,157
20-16,1157,2479,7,155
20-17,1489,2492,10,151
