id,No,Yes,over,under
01-01,362,1229,0,99
01-02,357,1251,1,120
01-03,575,1163,0,119
01-04,327,765,0,71
01-05,342,715,0,80
01-06,626,1835,4,182
01-07,553,1680,0,137
01-07A,28,190,0,28
01-09,251,806,1,61
01-10,397,948,2,68
01-11,784,1453,1,190
01-12,511,1140,0,124
01-13,305,1078,1,73
01-14,593,2611,0,174
01-15,689,1235,2,200
01-16,669,1828,0,189
01-17,354,577,0,90
01-18,718,1534,1,154
01-19,173,1200,0,89
01-20,359,1846,0,126
01-21,857,2519,1,221
01-22,367,2583,1,154
01-23,578,2531,1,290
01-25,51,430,0,31
01-26,221,1430,3,85
01-27,374,1491,1,134
01-28,729,2840,2,263
01-29,713,1472,2,136
01-30,405,766,0,83
01-31,541,2145,1,231
01-32,567,1610,1,146
01-33,454,1114,1,98
01-34,169,996,2,56
01-35,212,1480,0,83
01-36,809,1489,1,201
01-37,625,1014,2,117
01-38,550,1268,0,147
01-39,670,1503,2,193
01-40,448,2732,1,192
01-41,417,1389,1,126
01-42,1028,1382,2,169
01-43,584,1383,0,132
01-44,878,2108,1,210
01-45,515,933,0,105
01-46,373,1725,1,182
01-47,812,1119,1,120
01-48,468,1401,1,121
01-49,562,1843,4,215
01-50,298,2057,0,152
01-51,366,586,0,68
02-01,257,460,0,54
02-04,80,118,0,17
02-06,348,484,1,53
04-05,171,266,0,31
05-05,1850,4286,1,497
07-01,440,1022,2,101
07-02,470,960,1,115
07-03,492,935,1,96
07-04,1085,2477,3,234
07-05,585,1039,1,94
07-06,1149,2057,0,203
07-07,1114,1987,1,223
07-07A,117,347,0,64
07-09,910,1886,1,221
07-10,1257,2780,0,318
07-11,376,667,1,63
07-12,682,1658,0,190
07-13,626,1294,0,132
08-02,940,1740,2,183
08-03,1460,2826,2,354
08-05,227,431,1,52
08-06,438,1376,0,145
08-07,43,46,0,14
08-08,963,1379,0,187
08-09,608,1087,0,120
08-10,732,1454,1,170
08-11,1121,2227,0,284
11-01,1343,3271,4,398
11-02,1206,2739,2,286
13-01,985,3209,3,304
13-02,752,1040,1,138
13-05,448,1345,0,126
13-06,991,1642,3,205
13-07,522,1284,0,131
13-08,505,1761,0,185
13-09,926,2754,1,286
13-10,1986,3068,0,478
13-11,1029,1474,1,167
16-02,255,1241,2,91
16-10,613,2828,4,205
16-11,385,1666,1,120
17-01,487,1363,3,139
17-03,1342,3461,2,317
17-04,378,1004,1,117
17-05,760,2150,1,234
17-07,497,2157,1,173
17-09,456,2550,1,174
17-10,342,686,0,84
17-11,843,2687,1,284
18-01,805,2748,1,308
18-04,4,4,0,8
18-06,685,1924,1,241
19-13,566,1137,1,170
19-14,1037,1559,0,235
19-15,675,941,0,135
19-16,307,654,0,76
19-17,1454,2949,2,292
19-21,552,1160,1,151
