id,David E. Price,Robert Thomas,over,under
02-01,1538,1402,0,59
02-02,2622,2843,2,98
02-03,1289,1497,0,48
02-04,1062,1198,3,35
02-05,504,466,0,31
02-06,1117,1341,0,40
08-04,858,791,1,26
09-01,961,1106,3,54
09-02,1866,1055,3,62
09-03,1681,1669,4,70
10-01,427,713,1,30
10-02,1914,1509,4,82
10-03,13,24,0,0
13-01,3577,952,4,113
13-02,1099,782,1,54
13-06,1719,1052,0,71
13-08,2049,492,1,69
13-09,3012,884,1,87
13-10,3246,2174,6,126
13-11,1608,1296,1,58
14-01,287,458,0,15
14-02,2561,3944,1,120
17-02,841,619,0,31
17-04,4114,1851,6,133
19-03,1394,1406,1,82
19-05,1288,1749,2,85
19-07,2000,1998,0,124
19-09,2006,2316,0,125
19-11,1635,1398,1,97
19-12,3345,2996,3,167
19-13,1215,761,2,57
19-14,1556,1213,0,62
19-15,1416,1300,0,59
19-16,1407,1041,2,50
19-17,3351,1465,2,103
19-18,1576,1400,0,82
19-19,2844,3188,0,134
19-20,1706,1524,1,69
19-21,2749,1861,1,105
