id,Alan D. Swain,Deborah K. Ross,Jeff Matemu,over,under
01-01,331,1289,42,2,28
01-02,380,1275,30,1,43
01-03,764,1037,25,1,29
01-04,423,698,19,1,25
01-05,490,606,8,1,31
01-06,648,1892,54,3,50
01-07,540,1739,53,1,38
01-07A,36,194,2,0,11
01-09,244,842,23,0,12
01-10,436,944,15,0,20
01-11,1240,1110,17,2,59
01-12,601,1106,30,1,40
01-13,245,1163,28,1,15
01-14,519,2734,65,4,56
01-15,825,1202,42,1,56
01-16,785,1771,55,1,72
01-17,478,499,23,1,20
01-18,771,1538,43,0,55
01-19,68,1353,18,0,23
01-20,267,1991,38,1,34
01-21,814,2609,94,2,91
01-22,168,3084,46,4,44
01-23,624,2580,112,5,79
01-25,35,444,15,0,16
01-26,105,1567,32,0,35
01-27,305,1611,52,0,32
01-28,520,3175,80,0,59
01-29,988,1267,28,2,38
01-30,495,710,24,0,24
01-31,472,2273,94,3,76
01-32,522,1682,69,3,48
01-33,527,1089,15,0,36
01-34,53,1135,16,1,22
01-35,82,1637,24,1,31
01-36,1091,1308,41,2,58
01-37,707,971,44,1,35
01-38,521,1347,47,2,48
01-39,656,1575,74,0,63
01-40,213,3051,56,0,55
01-41,385,1448,51,2,47
01-42,1238,1254,43,1,47
01-43,605,1368,69,0,57
01-44,886,2142,96,0,73
01-45,551,913,53,0,36
01-46,333,1860,58,1,63
01-47,903,1072,37,3,37
01-48,428,1487,50,1,25
01-49,559,2041,118,2,66
01-50,158,2330,40,2,58
01-51,384,594,23,1,18
03-00,2712,3008,104,8,143
04-01,644,1289,35,3,54
04-02,774,1463,46,2,49
04-03,549,1227,49,2,40
04-04,458,955,48,1,34
04-05,1135,2136,77,4,72
04-06,970,1676,46,3,82
04-07,1302,1261,21,0,51
04-08,630,1548,51,4,55
04-09,932,1344,35,0,38
04-10,912,1599,61,2,58
04-11,393,955,36,0,31
04-12,941,1579,58,0,56
04-13,1514,2660,83,2,94
04-14,558,960,40,1,37
04-15,764,1479,71,1,53
04-16,582,1269,53,0,40
04-17,479,1127,50,2,30
04-18,842,1707,70,1,46
04-19,575,1018,45,0,36
04-20,854,1852,69,1,68
04-21,400,1131,50,2,37
05-01,1348,2325,80,2,84
05-03,1415,2284,62,2,72
05-05,2011,4381,130,1,129
05-06,1722,2836,68,3,98
05-07,1764,4493,137,1,158
05-08,861,2466,62,1,67
06-04,1476,2156,99,0,85
06-05,1576,1310,56,4,64
06-06,2574,3181,130,4,137
06-07,1339,1720,75,3,68
06-08,769,1190,66,1,55
06-09,3304,3251,158,5,186
06-10,1776,1685,96,2,91
07-01,458,1042,30,1,30
07-02,592,917,24,2,30
07-03,564,909,25,2,24
07-04,1041,2557,114,1,86
07-05,598,1047,43,2,31
07-06,1389,1883,52,2,83
07-07,1296,1965,79,2,64
07-07A,182,310,2,0,34
07-09,994,1888,75,0,73
07-10,1443,3118,114,4,94
07-11,424,641,19,2,19
07-12,738,1688,45,2,57
07-13,715,1285,45,1,35
08-02,1373,2256,77,0,79
08-03,1759,3070,135,1,104
08-05,872,1060,30,2,38
08-06,438,1471,61,1,39
08-07,1194,1170,42,0,44
08-08,1672,2276,68,1,98
08-09,616,1120,49,1,43
08-10,909,1614,66,2,55
08-11,1298,2292,68,1,96
10-03,926,1358,52,2,44
10-04,2832,4409,162,5,129
11-01,1624,3255,147,1,101
11-02,1392,2692,77,3,89
12-01,3216,2398,140,3,126
12-02,1971,2279,132,5,98
12-04,2721,1639,103,5,90
12-05,3666,3376,153,7,146
12-06,1948,1773,94,5,96
12-07,1445,1176,73,3,55
12-08,1814,2300,139,5,122
12-09,2461,2181,102,4,112
13-05,440,1420,47,0,43
13-07,571,1530,37,0,40
15-01,2139,1617,88,0,66
15-02,2504,2592,111,0,87
15-03,2638,1806,107,4,77
15-04,1130,990,37,2,30
16-01,1097,1411,90,2,64
16-02,707,3321,88,1,75
16-03,453,833,32,1,30
16-04,1023,1380,43,1,51
16-05,941,1223,51,1,43
16-06,367,776,27,0,21
16-07,1170,1754,79,1,60
16-09,1342,2391,101,6,83
16-10,496,3589,88,2,63
16-11,450,2384,55,0,48
17-01,581,1620,49,2,45
17-03,1530,3956,145,3,128
17-05,848,2519,56,1,78
17-06,870,1114,33,0,49
17-07,432,2682,75,2,51
17-09,284,2931,71,2,51
17-10,347,712,22,1,30
17-11,900,2891,82,6,87
17-12,683,2254,78,2,52
17-13,1474,3063,107,5,93
18-01,821,3072,136,4,88
18-02,2391,2010,87,2,91
18-03,861,1302,31,0,47
18-04,1807,1936,53,3,72
18-05,2059,2559,66,1,114
18-06,981,2512,97,4,83
18-07,1726,1423,67,3,61
18-08,1368,2411,87,1,98
20-01,1236,2005,85,0,79
20-03,1629,2213,88,3,90
20-04,1167,2050,73,1,75
20-05,1663,2147,67,5,82
20-06A,1706,2733,106,4,121
20-06B,1416,1849,76,2,71
20-08,1820,2493,115,6,114
20-09,1056,1450,50,1,51
20-10,1049,1868,38,0,73
20-11,1986,2736,89,1,109
20-12,1933,2892,93,3,108
20-14,2041,4034,123,4,115
20-15,1100,2796,67,0,73
20-16,1067,2558,75,1,97
20-17,1437,2560,61,5,79
