id,Cal Cunningham,Kevin E. Hayes,Shannon W. Bray,Thom Tillis,over,under
01-01,1260,8,47,353,2,20
01-02,1249,3,45,410,1,21
01-03,983,3,30,824,0,16
01-04,669,7,32,447,1,7
01-05,573,2,13,533,0,13
01-06,1828,9,82,697,0,31
01-07,1687,7,80,568,1,28
01-07A,187,6,5,38,0,7
01-09,818,6,21,267,1,5
01-10,883,3,30,487,0,12
01-11,1025,2,24,1349,0,28
01-12,1070,6,36,643,3,17
01-13,1143,13,43,248,0,5
01-14,2684,9,94,558,1,32
01-15,1164,8,58,869,1,26
01-16,1693,26,91,833,2,39
01-17,508,4,25,471,2,7
01-18,1460,32,75,808,1,31
01-19,1315,9,50,69,1,18
01-20,1951,6,63,290,2,19
01-21,2496,30,152,885,1,46
01-22,2992,25,99,194,3,33
01-23,2510,23,153,677,2,35
01-25,432,5,24,41,0,8
01-26,1505,17,62,133,1,25
01-27,1577,14,68,323,1,17
01-28,3088,26,129,543,1,47
01-29,1216,10,38,1040,0,19
01-30,697,6,42,491,0,18
01-31,2228,32,132,481,2,43
01-32,1625,18,99,541,1,40
01-33,1043,6,30,568,0,20
01-34,1083,16,30,78,0,16
01-35,1597,18,43,95,2,22
01-36,1249,4,67,1156,1,23
01-37,922,13,59,747,0,17
01-38,1326,17,63,525,3,31
01-39,1541,15,117,657,3,35
01-40,2970,41,94,239,2,36
01-41,1422,16,81,387,0,27
01-42,1225,19,69,1248,0,22
01-43,1347,20,86,619,2,25
01-44,2078,34,136,893,1,55
01-45,879,10,77,564,1,22
01-46,1800,30,100,347,2,36
01-47,1032,7,61,928,0,24
01-48,1467,11,57,437,3,16
01-49,1975,22,157,596,1,35
01-50,2278,20,76,176,2,36
01-51,566,6,31,412,0,5
02-01,1462,16,94,1398,0,29
02-02,2455,25,132,2919,1,33
02-03,1188,18,94,1520,0,17
02-04,974,16,62,1222,1,23
02-05,477,3,21,489,1,10
02-06,1025,7,52,1391,0,23
03-00,2893,33,203,2775,1,70
04-01,1238,38,83,635,0,31
04-02,1430,19,78,780,1,26
04-03,1204,14,86,545,0,18
04-04,906,12,83,473,2,20
04-05,2072,17,115,1188,1,31
04-06,1640,15,74,1007,0,41
04-07,1201,11,55,1350,2,19
04-08,1517,15,82,650,0,24
04-09,1296,13,64,962,0,14
04-10,1550,14,90,949,0,29
04-11,940,11,60,387,0,17
04-12,1544,15,90,951,0,32
04-13,2575,21,131,1564,2,60
04-14,926,14,72,565,0,19
04-15,1423,18,100,796,2,29
04-16,1250,22,76,579,0,17
04-17,1089,7,74,501,0,17
04-18,1679,26,84,850,0,27
04-19,1002,11,69,578,0,15
04-20,1805,26,106,874,0,33
04-21,1096,17,78,411,1,17
05-01,2271,13,125,1377,0,53
05-03,2207,20,109,1461,0,38
05-05,4285,53,221,2023,4,66
05-06,2735,24,118,1799,2,49
05-07,4313,47,194,1896,1,102
05-08,2363,18,103,929,1,43
06-04,2069,33,202,1474,1,37
06-05,1254,19,78,1619,1,39
06-06,3064,61,228,2594,3,76
06-07,1676,27,125,1339,0,38
06-08,1178,19,80,778,0,26
06-09,3164,52,255,3343,4,86
06-10,1606,32,158,1818,2,34
07-01,995,10,57,479,2,18
07-02,888,11,42,597,0,27
07-03,874,7,47,578,1,13
07-04,2500,29,156,1065,1,48
07-05,1008,18,62,618,0,15
07-06,1840,11,79,1446,1,32
07-07,1920,25,123,1308,1,29
07-07A,312,3,4,184,0,25
07-09,1812,20,139,1022,1,36
07-10,3007,23,187,1509,1,46
07-11,600,4,42,444,0,15
07-12,1634,10,85,773,0,28
07-13,1237,18,81,724,1,20
08-02,2184,18,138,1409,1,35
08-03,2968,26,204,1813,1,57
08-04,808,10,50,797,1,11
08-05,1057,16,53,852,0,24
08-06,1431,16,94,454,1,19
08-07,1139,9,76,1203,1,22
08-08,2224,17,137,1686,0,49
08-09,1084,12,85,624,0,24
08-10,1576,16,101,926,0,27
08-11,2246,16,132,1308,1,52
09-01,905,33,61,1106,0,19
09-02,1775,41,111,1030,1,28
09-03,1597,34,104,1653,1,35
10-01,405,18,28,710,0,10
10-02,1837,43,137,1456,1,35
10-03,1299,28,96,972,1,23
10-04,4249,66,293,2854,1,74
11-01,3180,25,208,1655,2,51
11-02,2598,19,117,1468,1,50
12-01,2325,43,221,3238,2,54
12-02,2180,63,235,1955,0,52
12-04,1589,53,190,2679,0,47
12-05,3264,44,284,3689,2,65
12-06,1677,41,172,1977,1,48
12-07,1150,37,118,1417,1,29
12-08,2247,36,193,1847,1,56
12-09,2107,38,177,2476,2,60
13-01,3405,51,188,939,4,59
13-02,1020,13,83,801,0,22
13-05,1369,20,88,450,0,23
13-06,1615,21,100,1074,0,32
13-07,1475,27,72,578,1,25
13-08,1966,24,93,497,1,30
13-09,2866,37,167,879,1,34
13-10,3079,35,142,2241,0,55
13-11,1521,22,88,1307,1,24
14-01,263,5,26,456,0,9
14-02,2382,36,209,3948,1,50
15-01,1521,55,166,2131,1,36
15-02,2466,59,214,2521,1,33
15-03,1724,47,184,2633,1,43
15-04,926,22,76,1146,1,16
16-01,1359,36,124,1116,1,28
16-02,3220,46,161,715,0,50
16-03,794,21,60,457,0,17
16-04,1302,26,80,1062,1,27
16-05,1155,34,95,957,0,18
16-06,740,9,65,357,0,20
16-07,1686,34,120,1189,3,32
16-09,2309,43,165,1371,1,34
16-10,3499,41,132,531,0,35
16-11,2335,29,83,457,2,31
