id,Maria Cervania,Steve Hale,over,under
01-01,1249,372,1,72
01-02,1211,411,1,106
01-03,927,814,0,115
01-04,615,476,1,73
01-05,542,498,0,94
01-06,1800,702,1,144
01-07,1660,577,2,132
01-07A,189,38,0,16
01-09,792,262,0,66
01-10,857,476,1,81
01-11,983,1280,0,165
01-12,1036,634,1,107
01-13,1118,267,1,69
01-14,2646,576,0,156
01-15,1100,880,0,146
01-16,1672,862,0,150
01-17,486,477,0,55
01-18,1453,827,1,126
01-19,1345,81,1,35
01-20,1940,309,1,81
01-21,2551,890,1,168
01-22,3030,216,0,100
01-23,2480,686,3,231
01-25,445,37,0,28
01-26,1525,142,0,77
01-27,1556,344,0,100
01-28,3060,591,3,180
01-29,1142,1061,1,119
01-30,663,521,0,71
01-31,2224,545,0,149
01-32,1611,588,1,124
01-33,991,587,0,89
01-34,1117,68,0,42
01-35,1620,95,0,60
01-36,1187,1147,2,164
01-37,914,747,0,98
01-38,1305,566,0,94
01-39,1508,706,0,154
01-40,3023,259,2,91
01-41,1410,411,0,112
01-42,1189,1263,0,131
01-43,1342,647,0,110
01-44,2047,949,3,198
01-45,881,588,0,84
01-46,1857,353,2,103
01-47,1012,940,1,99
01-48,1440,460,2,89
01-49,2023,629,2,132
01-50,2316,179,0,93
01-51,562,404,0,54
02-01,1405,1444,1,149
02-02,2397,2913,4,251
02-03,1161,1517,0,158
02-04,971,1230,1,96
02-05,464,493,0,43
02-06,994,1391,0,113
03-00,2870,2755,2,348
04-01,1244,679,1,101
04-02,1408,818,1,107
04-03,1192,583,1,91
04-04,929,497,0,70
04-05,2008,1259,0,157
04-06,1592,998,0,187
04-07,1181,1321,0,133
04-08,1515,663,0,110
04-09,1283,942,1,123
04-10,1536,958,0,138
04-11,947,399,0,69
04-12,1506,985,0,141
04-13,2552,1560,1,243
04-14,908,610,0,78
04-15,1453,806,0,109
04-16,1239,602,1,102
04-17,1076,519,2,91
04-18,1645,889,0,132
04-19,970,609,0,94
04-20,1818,877,0,149
04-21,1119,424,1,76
05-01,2265,1400,0,184
05-03,2187,1450,1,197
05-05,4255,2075,0,322
05-06,2718,1738,1,270
05-07,4370,1822,1,360
05-08,2389,899,0,169
06-04,2069,1553,1,193
06-05,1207,1645,0,158
06-06,3030,2673,0,323
06-07,1666,1382,2,155
06-08,1150,805,0,126
06-09,3099,3380,1,424
06-10,1589,1872,1,188
07-01,971,510,0,80
07-02,859,610,2,92
07-03,837,604,0,80
07-04,2490,1104,0,205
07-05,1010,628,0,83
07-06,1752,1462,0,195
07-07,1880,1351,0,175
07-07A,266,188,1,73
07-09,1821,1062,1,146
07-10,3037,1486,2,248
07-11,597,454,0,57
07-12,1592,767,0,171
07-13,1236,734,0,111
08-02,2127,1430,2,226
08-03,2964,1828,0,277
08-04,800,800,0,73
08-05,1031,862,1,108
08-06,1440,473,1,96
08-07,1082,1235,1,132
08-08,2140,1705,0,268
08-09,1047,669,0,113
08-10,1568,949,0,129
08-11,2184,1348,1,222
09-01,881,1136,0,107
09-02,1762,1081,2,141
09-03,1588,1705,0,131
10-01,376,738,0,57
10-02,1832,1536,1,140
10-03,1322,998,0,99
10-04,4269,2963,1,304
11-01,3099,1689,2,331
11-02,2547,1495,4,207
12-01,2272,3304,2,305
12-02,2222,2068,0,195
12-04,1555,2785,2,216
12-05,3231,3752,2,363
12-06,1657,2072,1,186
12-07,1127,1521,0,104
12-08,2254,1870,1,255
12-09,2071,2553,0,236
13-01,3466,980,1,199
13-02,991,811,1,133
13-05,1380,466,1,103
13-06,1583,1086,0,173
13-07,1479,608,0,91
13-08,1993,508,0,110
13-09,2908,895,0,181
13-10,3021,2247,0,284
13-11,1465,1338,2,158
14-01,254,473,0,33
14-02,2334,3995,2,295
15-01,1503,2240,3,164
15-02,2456,2601,1,236
15-03,1713,2730,0,189
15-04,924,1176,1,85
16-01,1342,1180,2,140
16-02,3271,763,0,158
16-03,814,477,0,58
16-04,1299,1086,0,117
16-05,1159,1000,0,100
16-06,747,387,0,57
16-07,1655,1284,0,125
16-09,2305,1418,0,200
16-10,3536,560,1,141
16-11,2362,481,0,94
17-01,1568,618,1,110
17-02,786,637,0,68
17-03,3861,1643,1,257
17-04,3937,1889,2,276
17-05,2435,894,0,173
17-06,1059,915,0,92
17-07,2649,498,1,94
17-09,2916,318,2,103
17-10,677,375,1,59
17-11,2827,962,0,177
17-12,2236,711,1,121
17-13,2936,1596,4,206
18-01,2982,929,1,209
18-02,1885,2470,1,225
18-03,1227,899,1,114
18-04,1807,1857,1,206
18-05,2414,2134,0,251
18-06,2424,1047,0,206
18-07,1328,1778,1,173
18-08,2302,1431,1,231
19-03,1309,1409,0,165
19-05,1192,1768,1,163
19-07,1894,2007,0,221
19-09,1883,2326,0,235
19-11,1545,1392,0,194
19-12,3170,3000,2,339
19-13,1162,754,0,119
19-14,1443,1240,0,148
19-15,1325,1303,0,147
19-16,1310,1078,0,112
19-17,3223,1489,0,209
19-18,1501,1399,0,158
19-19,2628,3226,1,311
19-20,1595,1556,0,146
19-21,2602,1908,2,204
20-01,1926,1302,0,177
20-03,2137,1657,0,229
20-04,1959,1211,1,192
20-05,2020,1723,1,220
20-06A,2641,1770,1,258
20-06B,1796,1427,2,189
20-08,2402,1906,0,240
20-09,1400,1088,0,120
20-10,1806,1039,0,183
20-11,2619,2032,2,268
20-12,2777,1995,0,257
20-14,3849,2144,0,324
20-15,2682,1142,1,211
20-16,2486,1095,1,216
20-17,2461,1467,0,214
