id,James West,under
01-01,1383,309
01-02,1352,377
01-03,1199,657
01-04,801,367
01-05,706,430
01-06,2086,561
01-07,1906,464
01-07A,197,47
01-09,877,243
01-10,1030,385
01-11,1432,998
01-12,1258,518
01-13,1198,256
01-14,2814,564
01-15,1370,756
01-16,1989,695
01-17,624,397
01-18,1688,719
01-19,1365,97
01-20,2062,269
01-21,2893,717
01-22,3134,212
01-23,2842,558
01-25,451,59
01-26,1581,159
01-27,1684,320
01-28,3257,577
01-29,1485,838
01-30,809,446
01-31,2469,449
01-32,1841,486
01-33,1199,468
01-34,1122,105
01-35,1651,129
01-36,1640,860
01-37,1165,597
01-38,1467,498
01-39,1742,629
01-40,3132,243
01-41,1552,381
01-42,1505,1078
01-43,1556,543
01-44,2303,894
01-45,1088,465
01-46,1925,390
01-47,1277,775
01-48,1580,411
01-49,2299,487
01-50,2383,205
01-51,687,333
02-01,1784,1215
02-02,3209,2356
02-03,1574,1262
02-04,1309,989
02-05,588,410
02-06,1387,1111
03-00,3852,2123
04-01,1441,584
04-02,1665,669
04-03,1398,469
04-04,1086,410
04-05,2427,997
04-06,1878,901
04-07,1548,1087
04-08,1737,551
04-09,1581,768
04-10,1838,794
04-11,1037,381
04-12,1805,826
04-13,3002,1351
04-14,1080,516
04-15,1672,696
04-16,1441,503
04-17,1251,437
04-18,1928,738
04-19,1164,511
04-20,2113,731
04-21,1253,367
05-01,2791,1048
05-03,2693,1142
05-05,4989,1663
05-06,3257,1470
05-07,5091,1462
05-08,2739,718
06-04,2673,1143
06-05,1674,1336
06-06,4005,2021
06-07,2087,1118
06-08,1448,633
06-09,4357,2547
06-10,2182,1468
07-01,1130,431
07-02,1048,515
07-03,1016,505
07-04,2830,969
07-05,1192,529
07-06,2204,1205
07-07,2286,1120
07-07A,314,214
07-09,2153,877
07-10,3588,1185
07-11,712,395
07-12,1872,658
07-13,1467,614
08-02,2563,1222
08-03,3617,1452
08-04,1022,655
08-05,1266,732
08-06,1598,415
08-07,1431,1019
08-08,2752,1360
08-09,1292,537
08-10,1907,739
08-11,2652,1103
09-01,1243,881
09-02,2110,876
09-03,2151,1273
10-01,586,585
10-02,2284,1225
10-03,1672,747
10-04,5142,2395
11-01,3783,1338
11-02,3037,1216
12-01,3269,2614
12-02,2972,1513
12-04,2497,2061
12-05,4464,2884
12-06,2338,1578
12-07,1592,1160
12-08,2867,1513
12-09,2917,1943
13-01,3767,879
13-02,1257,682
13-05,1538,412
13-06,1928,914
13-07,1687,491
13-08,2134,477
13-09,3179,805
13-10,3679,1873
13-11,1854,1119
14-01,376,387
14-02,3521,3105
15-01,2204,1706
15-02,3326,1968
15-03,2494,2138
15-04,1290,895
16-01,1767,897
16-02,3519,673
16-03,986,363
16-04,1630,871
16-05,1464,800
16-06,871,320
16-07,2088,976
16-09,2770,1153
16-10,3709,529
16-11,2489,448
17-01,1756,541
17-02,1022,469
17-03,4368,1394
17-04,4518,1586
17-05,2665,837
17-06,1330,736
17-07,2830,412
17-09,3028,311
17-10,792,320
17-11,3190,776
17-12,2478,591
17-13,3450,1292
18-01,3386,735
18-02,2608,1973
18-03,1504,737
18-04,2341,1530
18-05,3062,1740
18-06,2802,875
18-07,1852,1428
18-08,2834,1131
19-03,1741,1142
19-05,1659,1465
19-07,2468,1654
19-09,2612,1832
19-11,2004,1127
19-12,4135,2379
19-13,1384,651
19-14,1829,1002
19-15,1680,1095
19-16,1599,901
19-17,3673,1248
19-18,1948,1115
19-19,3685,2481
19-20,2054,1242
19-21,3225,1491
20-01,2406,999
20-03,2661,1362
20-04,2396,967
20-05,2594,1370
20-06A,3240,1430
20-06B,2259,1155
20-08,2989,1559
20-09,1773,835
20-10,2140,885
20-11,3357,1564
20-12,3468,1561
20-14,4619,1698
20-15,3122,914
20-16,2906,892
20-17,3020,1122
