id,Deborah Prickett,Heather Scott,Write-In,over,under
09-01,724,961,28,1,410
09-02,1071,1379,33,4,499
09-03,1240,1586,24,3,571
10-01,430,502,15,2,222
10-02,1271,1617,31,5,585
10-03,854,1105,33,4,423
10-04,2728,3535,85,5,1185
17-02,440,776,15,1,259
17-04,2108,2999,54,5,938
19-03,999,1332,35,4,513
19-05,1208,1295,33,1,587
19-07,1507,1810,40,5,760
19-09,1590,1988,63,6,797
19-11,1047,1500,29,0,555
19-12,2321,2963,77,8,1142
19-15,347,470,15,0,182
19-16,850,1159,36,3,452
19-17,1578,2549,56,9,729
19-18,1142,1388,46,4,478
19-19,2372,2689,69,7,1029
19-20,1211,1461,51,1,572
19-21,1602,2210,58,7,839
