id,Dorian Hamilton,Gregory Hahn,Monika Johnson-Hostler,Write-In,over,under
12-01,593,2053,1977,91,14,1155
12-02,531,1327,1835,62,16,714
12-04,488,1751,1410,70,9,830
12-06,452,1299,1397,35,13,720
12-07,305,1023,952,50,7,415
12-08,528,1260,1739,47,16,790
15-01,468,1275,1363,55,8,741
15-02,565,1618,2122,88,14,887
15-03,459,1708,1521,68,14,862
15-04,223,684,849,12,8,409
16-01,360,684,1077,21,10,512
16-02,260,353,1138,20,4,275
16-03,183,260,676,13,5,212
16-04,220,667,1126,18,6,461
16-05,260,617,958,23,4,397
16-06,134,252,589,11,2,203
16-07,280,780,1487,24,7,486
16-09,459,825,1927,31,11,670
16-10,539,410,2845,32,9,403
16-11,395,365,1853,20,6,298
17-06,288,510,844,30,8,386
