id,Roxie Cash,Write-In,over,under
01-42,1624,71,1,887
01-43,1432,66,1,600
01-44,2171,97,0,929
01-45,1048,51,2,452
01-47,1303,73,2,674
02-01,1804,82,2,1111
02-02,3485,145,5,1930
02-03,1772,87,0,977
02-04,1416,63,2,817
02-05,629,28,0,345
02-06,1567,69,2,860
07-05,1164,59,0,498
07-13,1360,58,2,661
13-02,1239,54,1,642
13-05,1366,66,2,516
13-06,1909,108,2,823
13-07,1498,94,0,586
13-08,1821,93,1,696
13-09,2799,125,0,1060
13-10,3420,165,5,1964
13-11,1853,85,2,1023
14-01,449,22,2,286
14-02,4167,193,4,2262
19-13,1184,60,1,790
19-14,1771,101,2,957
19-15,1075,63,1,622
