id,Christine Kushner,Write-In,over,under
01-01,1250,67,2,374
01-02,1238,44,1,446
01-03,1142,108,0,606
01-04,756,50,0,357
01-05,687,55,0,396
01-06,1893,67,2,685
01-07,1705,39,1,624
01-07A,170,9,0,67
01-09,834,38,1,247
01-10,934,48,0,433
01-11,1406,118,0,905
01-12,1176,46,1,555
01-15,1291,69,2,764
01-16,1848,70,6,763
01-17,596,47,1,376
01-18,1594,91,0,722
01-29,1446,152,1,724
01-30,769,52,1,432
01-33,1116,64,0,487
01-36,1547,112,1,840
01-37,1114,65,1,578
01-38,1318,53,1,593
01-39,1620,60,2,686
01-46,1727,54,2,532
01-51,659,33,1,327
07-01,1085,32,2,442
07-03,976,34,1,511
07-04,2647,103,1,1048
07-09,2008,97,1,924
07-11,702,42,1,363
11-01,3566,136,3,1416
11-02,2874,128,2,1249
13-01,3431,110,1,1104
