id,Chris Heagarty,Rachel Mills,Write-In,over,under
05-01,905,931,19,0,330
05-03,1287,1400,26,5,618
05-05,2708,2765,55,13,1111
05-06,640,621,18,1,223
05-07,2851,2681,56,6,959
05-08,1622,1295,23,6,511
07-02,659,594,8,1,301
07-06,1410,1308,18,2,671
07-07,1463,1293,19,7,624
07-07A,195,136,1,0,196
07-10,2150,1811,28,7,777
07-12,1124,911,19,3,473
08-02,1711,1463,25,2,584
08-03,2120,2109,35,5,800
08-04,661,731,11,3,266
08-05,840,790,16,1,350
08-06,905,796,14,1,294
08-07,966,1040,19,2,423
08-08,1763,1651,16,1,680
08-09,789,698,15,1,326
08-10,1145,1111,11,1,378
08-11,1631,1473,30,5,616
20-15,292,337,5,0,108
20-16,625,651,19,2,259
