id,Bill Fletcher,Daniel Madding,Karen Carter,Write-In,over,under
04-01,630,149,846,20,2,378
04-02,778,170,1009,21,1,355
04-03,494,187,859,22,0,305
04-04,441,106,694,14,3,238
04-05,995,289,1511,36,2,591
04-06,953,194,1093,10,1,527
04-07,935,152,1107,25,0,416
04-08,642,221,1006,22,0,397
04-09,636,158,1096,22,4,433
04-10,751,195,1177,38,2,469
04-11,410,115,650,12,3,225
04-12,877,208,1097,21,0,431
04-13,1211,392,1980,42,4,724
04-14,446,127,747,14,0,262
04-15,731,183,1073,22,1,358
04-16,621,185,799,14,1,324
04-17,493,125,759,20,2,289
04-18,742,209,1181,39,2,493
04-19,529,134,764,12,0,235
04-20,857,240,1258,22,3,464
04-21,387,135,820,12,3,263
05-01,440,119,772,17,2,304
05-03,122,35,217,10,2,113
05-06,810,246,1519,24,4,621
18-03,628,154,1006,28,0,426
18-08,996,349,1848,44,1,727
20-04,877,274,1615,27,4,564
20-10,804,234,1500,28,3,460
