id,Greg Jones,Sig Hutchinson,over,under
01-01,339,1278,1,75
01-02,379,1256,0,94
01-03,743,1019,0,94
01-04,416,692,0,56
01-05,461,609,0,68
01-06,674,1851,0,122
01-07,546,1698,0,125
01-07A,35,192,0,16
01-09,242,827,0,49
01-10,416,936,0,63
01-11,1162,1148,0,118
01-12,579,1102,1,93
01-13,246,1145,0,61
01-14,529,2719,1,129
01-15,821,1174,0,131
01-16,805,1751,2,126
01-17,450,517,1,49
01-18,789,1509,0,109
01-19,88,1335,0,39
01-20,293,1966,1,71
01-21,877,2575,0,158
01-22,229,3024,1,92
01-23,667,2520,0,213
01-25,39,448,0,23
01-26,137,1534,0,71
01-27,324,1584,2,90
01-28,574,3082,2,176
01-29,968,1265,0,90
01-30,496,704,0,53
01-31,524,2249,3,142
01-32,561,1653,1,109
01-33,528,1059,0,80
01-34,71,1112,2,43
01-35,106,1615,1,54
01-36,1060,1305,1,134
01-37,706,974,0,80
01-38,551,1322,1,91
01-39,684,1555,0,129
01-40,273,3012,5,85
01-41,395,1424,1,113
01-42,1189,1287,1,106
01-43,636,1371,0,92
01-44,925,2098,0,174
01-45,542,937,1,73
01-46,364,1851,0,100
01-47,892,1081,0,79
01-48,434,1468,1,88
01-49,613,2042,2,129
01-50,191,2299,1,97
01-51,383,589,1,47
02-01,1353,1504,2,140
02-02,2836,2495,2,232
02-03,1435,1270,1,128
02-04,1177,1041,0,80
02-05,480,483,0,38
02-06,1300,1096,1,101
03-00,2695,2937,3,340
04-01,651,1275,0,99
04-02,782,1450,0,102
04-03,565,1212,1,89
04-04,485,945,0,66
04-05,1177,2092,1,154
04-06,981,1629,0,167
04-07,1281,1237,1,116
04-08,643,1532,2,111
04-09,914,1321,1,113
04-10,932,1561,0,139
04-11,405,947,0,66
04-12,951,1558,1,124
04-13,1507,2591,4,254
04-14,588,931,0,77
04-15,804,1453,0,111
04-16,596,1248,1,99
04-17,502,1101,0,85
04-18,863,1672,0,131
04-19,592,994,0,85
04-20,891,1806,0,147
04-21,417,1128,2,73
05-01,1390,2269,4,178
05-03,1418,2220,0,197
05-05,2059,4287,0,306
05-06,1722,2736,1,268
05-07,1846,4385,2,320
05-08,891,2398,0,168
06-04,1525,2114,0,177
06-05,1595,1265,2,148
06-06,2617,3108,0,301
06-07,1333,1717,0,155
06-08,782,1179,1,119
06-09,3318,3180,1,405
06-10,1849,1622,0,179
07-01,485,1003,1,72
07-02,577,904,0,82
07-03,559,899,0,63
07-04,1100,2531,0,176
07-05,603,1050,0,68
07-06,1366,1875,0,168
07-07,1264,1989,1,152
07-07A,171,297,0,60
07-09,1027,1878,0,125
07-10,1460,3084,3,226
07-11,416,636,0,54
07-12,709,1670,2,149
07-13,693,1296,0,92
08-02,1340,2248,3,194
08-03,1774,3035,0,260
08-04,777,832,0,65
08-05,818,1079,0,102
08-06,451,1473,1,85
08-07,1157,1175,0,118
08-08,1628,2241,2,244
08-09,649,1086,1,93
08-10,906,1626,1,113
08-11,1273,2284,4,194
09-01,1155,892,0,77
09-02,1081,1790,1,114
09-03,1716,1602,0,106
10-01,753,380,0,38
10-02,1551,1839,1,118
10-03,1001,1333,0,85
10-04,2917,4359,1,260
11-01,1613,3209,2,297
11-02,1402,2671,4,176
12-01,3127,2482,3,271
12-02,2019,2280,2,184
12-04,2750,1617,0,191
12-05,3596,3415,2,335
12-06,2006,1732,1,177
12-07,1479,1174,1,98
12-08,1858,2280,1,241
12-09,2489,2140,2,229
13-01,1003,3458,1,184
13-02,779,1042,0,115
13-05,445,1421,0,84
13-06,1053,1656,1,132
13-07,600,1498,0,80
13-08,518,1994,1,98
13-09,902,2928,0,154
13-10,2053,3280,0,219
13-11,1248,1584,0,131
14-01,466,268,1,28
14-02,3936,2433,1,256
15-01,2201,1545,0,164
15-02,2558,2522,1,213
15-03,2696,1771,2,163
15-04,1147,962,0,79
16-01,1161,1365,0,138
16-02,789,3248,2,153
16-03,489,810,0,50
16-04,1062,1329,1,111
16-05,984,1186,0,89
16-06,393,743,0,55
16-07,1230,1718,1,115
16-09,1420,2317,0,186
16-10,570,3519,2,147
16-11,488,2366,0,83
17-01,606,1593,0,98
17-02,642,798,0,51
17-03,1638,3884,2,238
17-04,1891,3977,1,235
17-05,893,2462,0,147
17-06,908,1079,3,76
17-07,479,2672,3,88
17-09,347,2888,1,103
17-10,372,693,0,47
17-11,951,2858,3,154
17-12,735,2232,0,102
17-13,1582,2989,0,171
18-01,895,3020,1,205
18-02,2368,1999,3,211
18-03,869,1259,1,112
18-04,1818,1879,1,173
18-05,2068,2500,0,231
18-06,1008,2476,3,190
18-07,1728,1401,1,150
18-08,1387,2367,2,209
19-03,1396,1342,0,145
19-05,1721,1259,0,144
19-07,1978,1940,1,203
19-09,2337,1901,1,205
19-11,1365,1593,1,172
19-12,2976,3226,3,306
19-13,747,1183,0,105
19-14,1204,1499,0,128
19-15,1278,1367,0,130
19-16,1075,1327,2,96
19-17,1483,3259,1,178
19-18,1379,1528,1,150
19-19,3144,2758,4,260
19-20,1527,1647,0,126
19-21,1849,2681,0,186
20-01,1261,1983,0,161
20-03,1627,2162,1,233
20-04,1150,2029,0,183
20-05,1681,2076,1,206
20-06A,1700,2718,0,252
20-06B,1372,1868,2,172
20-08,1836,2466,1,245
20-09,1049,1438,1,120
20-10,1007,1842,1,177
20-11,1979,2670,2,270
20-12,1947,2828,3,251
20-14,2092,3902,1,322
20-15,1127,2696,1,212
20-16,1091,2491,1,215
20-17,1415,2522,1,204
