id,Matt Calabria,under
01-01,1391,302
01-02,1351,378
01-03,1227,629
01-04,807,359
01-05,718,418
01-06,2103,544
01-07,1921,452
01-07A,194,52
01-09,884,234
01-10,1041,374
01-11,1439,992
01-12,1262,513
01-13,1209,245
01-14,2826,552
01-15,1373,753
01-16,1995,689
01-17,625,396
01-18,1707,700
01-19,1362,100
01-20,2071,260
01-21,2914,696
01-22,3141,205
01-23,2863,537
01-25,465,47
01-26,1576,167
01-27,1696,304
01-28,3252,582
01-29,1492,831
01-30,813,442
01-31,2481,437
01-32,1843,483
01-33,1203,464
01-34,1120,105
01-35,1652,124
01-36,1650,850
01-37,1175,587
01-38,1478,487
01-39,1754,617
01-40,3118,257
01-41,1558,375
01-42,1537,1046
01-43,1574,525
01-44,2321,876
01-45,1089,464
01-46,1936,379
01-47,1298,754
01-48,1588,403
01-49,2313,473
01-50,2375,213
01-51,689,331
02-01,1803,1196
02-02,3220,2345
02-03,1579,1257
02-04,1308,990
02-05,580,418
02-06,1401,1097
03-00,3871,2104
04-01,1451,574
04-02,1680,654
04-03,1403,464
04-04,1101,395
04-05,2465,959
04-06,1892,890
04-07,1563,1072
04-08,1751,537
04-09,1596,753
04-10,1859,773
04-11,1042,374
04-12,1802,833
04-13,3036,1317
04-14,1081,515
04-15,1676,692
04-16,1450,494
04-17,1249,439
04-18,1932,734
04-19,1177,498
04-20,2111,733
04-21,1262,358
05-01,2799,1040
05-03,2697,1138
05-05,4987,1665
05-06,3305,1422
05-07,5114,1439
05-08,2753,704
06-04,2706,1110
06-05,1705,1305
06-06,4045,1981
06-07,2097,1108
06-08,1449,632
06-09,4385,2519
06-10,2204,1446
07-01,1133,428
07-02,1062,501
07-03,1016,506
07-04,2844,955
07-05,1203,518
07-06,2221,1188
07-07,2309,1097
07-07A,323,205
07-09,2170,860
07-10,3594,1179
07-11,720,388
07-12,1877,653
07-13,1483,598
08-02,2579,1206
08-03,3633,1446
08-04,1013,661
08-05,1268,730
08-06,1598,412
08-07,1446,1004
08-08,2765,1349
08-09,1292,537
08-10,1923,723
08-11,2685,1070
09-01,1237,887
09-02,2089,897
09-03,2143,1281
10-01,576,595
10-02,2278,1231
10-03,1677,742
10-04,5138,2399
11-01,3794,1327
11-02,3061,1192
12-01,3407,2476
12-02,2990,1495
12-04,2541,2017
12-05,4599,2749
12-06,2362,1554
12-07,1627,1125
12-08,2899,1481
12-09,2947,1913
13-01,3778,868
13-02,1256,685
13-05,1542,408
13-06,1938,904
13-07,1701,477
13-08,2142,469
13-09,3181,803
13-10,3712,1840
13-11,1870,1093
14-01,381,378
14-02,3522,3104
15-01,2203,1707
15-02,3336,1958
15-03,2516,2116
15-04,1298,892
16-01,1776,888
16-02,3519,673
16-03,991,358
16-04,1654,848
16-05,1465,799
16-06,878,313
16-07,2096,971
16-09,2785,1138
16-10,3720,518
16-11,2492,447
17-01,1756,541
17-02,1024,467
17-03,4353,1409
17-04,4514,1590
17-05,2671,831
17-06,1323,743
17-07,2824,418
17-09,3024,315
17-10,790,322
17-11,3205,761
17-12,2479,590
17-13,3458,1284
18-01,3416,705
18-02,2631,1950
18-03,1516,725
18-04,2369,1502
18-05,3081,1720
18-06,2831,846
18-07,1883,1397
18-08,2834,1131
19-03,1742,1141
19-05,1675,1449
19-07,2481,1641
19-09,2614,1830
19-11,1996,1135
19-12,4133,2380
19-13,1404,631
19-14,1842,989
19-15,1707,1068
19-16,1618,882
19-17,3673,1248
19-18,1954,1105
19-19,3700,2466
19-20,2062,1235
19-21,3234,1482
20-01,2414,991
20-03,2677,1346
20-04,2403,962
20-05,2608,1356
20-06A,3295,1375
20-06B,2295,1119
20-08,3024,1524
20-09,1782,826
20-10,2144,884
20-11,3394,1527
20-12,3494,1535
20-14,4658,1659
20-15,3132,904
20-16,2918,880
20-17,3042,1100
