id,Charles Gilliam,Tammy L. Brunner,over,under
01-01,404,1205,2,82
01-02,462,1166,2,99
01-03,872,868,0,116
01-04,514,573,1,77
01-05,556,491,0,91
01-06,749,1760,1,137
01-07,622,1620,2,127
01-07A,37,191,0,15
01-09,277,782,1,58
01-10,526,815,1,73
01-11,1331,932,1,164
01-12,662,1005,0,108
01-13,291,1106,1,59
01-14,646,2578,0,154
01-15,896,1076,4,150
01-16,873,1652,0,159
01-17,507,456,0,56
01-18,858,1407,4,138
01-19,90,1330,1,41
01-20,324,1922,0,85
01-21,908,2515,0,187
01-22,236,3017,3,90
01-23,732,2438,3,227
01-25,46,442,0,26
01-26,163,1494,1,83
01-27,369,1518,1,112
01-28,615,3047,0,172
01-29,1127,1070,0,126
01-30,538,640,1,77
01-31,595,2176,2,145
01-32,604,1595,1,124
01-33,607,965,0,95
01-34,72,1111,2,41
01-35,115,1603,1,56
01-36,1183,1156,1,160
01-37,795,867,0,98
01-38,559,1291,2,113
01-39,729,1492,2,145
01-40,251,3028,1,95
01-41,443,1378,3,109
01-42,1293,1164,1,125
01-43,669,1322,0,108
01-44,966,2033,4,194
01-45,595,872,0,86
01-46,359,1841,2,113
01-47,993,960,2,97
01-48,499,1405,1,86
01-49,634,2008,2,142
01-50,213,2281,2,92
01-51,421,546,0,53
02-01,1492,1343,3,161
02-02,2971,2321,1,272
02-03,1549,1130,1,156
02-04,1270,928,1,99
02-05,488,462,0,51
02-06,1422,954,1,121
03-00,2788,2825,3,359
04-01,698,1213,4,110
04-02,847,1373,2,112
04-03,609,1171,1,86
04-04,515,906,2,73
04-05,1284,1966,1,169
04-06,1035,1563,1,178
04-07,1358,1145,1,131
04-08,693,1471,4,120
04-09,982,1225,3,139
04-10,996,1486,2,148
04-11,412,931,0,75
04-12,994,1507,0,133
04-13,1611,2457,5,280
04-14,642,866,2,86
04-15,829,1420,0,119
04-16,626,1224,1,93
04-17,535,1057,0,96
04-18,936,1583,1,146
04-19,624,950,1,98
04-20,930,1756,0,158
04-21,433,1104,1,82
05-01,1427,2209,8,188
05-03,1509,2114,0,212
05-05,2133,4194,10,315
05-06,1782,2656,3,286
05-07,1892,4303,4,354
05-08,923,2357,4,173
06-04,1562,2053,4,197
06-05,1674,1175,2,163
06-06,2665,3019,10,332
06-07,1351,1673,2,179
06-08,802,1152,1,126
06-09,3358,3090,2,454
06-10,1858,1599,5,188
07-01,527,949,1,84
07-02,633,832,2,96
07-03,639,797,1,86
07-04,1145,2445,1,204
07-05,639,1005,0,80
07-06,1539,1666,2,202
07-07,1386,1836,3,181
07-07A,199,263,1,65
07-09,1107,1774,2,147
07-10,1557,2957,2,257
07-11,475,572,0,61
07-12,819,1550,2,159
07-13,771,1203,0,107
08-02,1491,2060,2,232
08-03,1876,2900,0,293
08-04,821,778,2,75
08-05,910,979,1,112
08-06,479,1430,1,100
08-07,1242,1076,1,131
08-08,1714,2120,2,277
08-09,686,1031,2,110
08-10,992,1523,0,134
08-11,1377,2149,1,228
09-01,1141,889,0,94
09-02,1086,1762,2,136
09-03,1693,1604,1,126
10-01,736,384,0,51
10-02,1538,1820,3,148
10-03,1015,1306,0,98
10-04,2986,4242,5,304
11-01,1699,3084,4,334
11-02,1554,2474,2,223
12-01,3294,2271,0,321
12-02,2040,2240,3,202
12-04,2788,1552,3,215
12-05,3783,3169,3,393
12-06,2065,1655,2,194
12-07,1485,1142,1,124
12-08,1889,2236,4,251
12-09,2557,2041,2,260
13-01,994,3438,4,210
13-02,823,979,1,133
13-05,477,1372,3,98
13-06,1137,1555,0,150
13-07,607,1477,1,93
13-08,517,1974,4,116
13-09,927,2884,1,172
13-10,2287,2951,0,314
13-11,1376,1429,1,157
14-01,474,252,0,35
14-02,3975,2331,2,318
15-01,2241,1518,1,150
15-02,2617,2439,1,237
15-03,2745,1682,2,203
15-04,1171,930,0,90
16-01,1153,1367,3,141
16-02,792,3239,2,159
16-03,485,805,0,59
16-04,1096,1276,1,127
16-05,993,1158,0,108
16-06,392,741,1,57
16-07,1285,1650,1,128
16-09,1452,2270,1,200
16-10,599,3509,1,129
16-11,499,2346,2,90
17-01,616,1581,2,98
17-02,639,795,1,56
17-03,1585,3944,2,231
17-04,1902,3930,0,272
17-05,915,2421,1,165
17-06,904,1071,0,91
17-07,513,2636,2,91
17-09,342,2886,1,110
17-10,375,683,1,53
17-11,979,2805,3,179
17-12,747,2195,2,125
17-13,1604,2928,4,206
18-01,947,2957,3,214
18-02,2501,1848,1,231
18-03,924,1201,1,115
18-04,1868,1788,4,211
18-05,2205,2333,1,260
18-06,1064,2395,1,217
18-07,1805,1301,4,170
18-08,1475,2234,2,254
19-03,1418,1297,1,167
19-05,1802,1159,1,166
19-07,2019,1876,3,224
19-09,2340,1862,1,241
19-11,1392,1553,1,185
19-12,3037,3129,2,339
19-13,774,1145,0,119
19-14,1238,1437,2,154
19-15,1304,1330,1,140
19-16,1084,1294,1,121
19-17,1535,3170,3,213
19-18,1420,1487,1,150
19-19,3212,2633,2,319
19-20,1551,1593,2,152
19-21,1929,2565,5,217
20-01,1302,1921,3,179
20-03,1677,2088,4,254
20-04,1241,1919,2,204
20-05,1779,1967,1,217
20-06A,1788,2588,4,290
20-06B,1444,1766,1,203
20-08,1911,2379,3,255
20-09,1133,1348,1,126
20-10,1097,1738,4,189
20-11,2049,2563,2,307
20-12,2006,2741,5,277
20-14,2193,3773,0,347
20-15,1152,2647,1,236
20-16,1104,2463,1,230
20-17,1530,2377,2,233
