id,Susan P. Evans,under
01-01,1385,308
01-02,1354,375
01-03,1202,654
01-04,798,370
01-05,701,437
01-06,2087,560
01-07,1908,462
01-07A,198,50
01-09,882,238
01-10,1033,382
01-11,1416,1015
01-12,1265,514
01-13,1201,254
01-14,2805,573
01-15,1374,752
01-16,1994,690
01-17,622,396
01-18,1700,707
01-19,1367,95
01-20,2064,267
01-21,2906,704
01-22,3133,213
01-23,2845,555
01-25,459,55
01-26,1572,168
01-27,1689,315
01-28,3244,590
01-29,1487,836
01-30,808,444
01-31,2476,442
01-32,1839,490
01-33,1196,471
01-34,1126,97
01-35,1646,132
01-36,1634,866
01-37,1159,603
01-38,1477,488
01-39,1748,625
01-40,3108,267
01-41,1563,370
01-42,1512,1071
01-43,1573,526
01-44,2320,877
01-45,1078,475
01-46,1944,371
01-47,1279,773
01-48,1586,405
01-49,2302,484
01-50,2365,223
01-51,692,328
02-01,1793,1206
02-02,3230,2345
02-03,1576,1257
02-04,1310,988
02-05,593,409
02-06,1394,1104
03-00,3867,2108
04-01,1453,572
04-02,1668,666
04-03,1407,460
04-04,1098,398
04-05,2444,980
04-06,1890,892
04-07,1564,1071
04-08,1741,547
04-09,1586,763
04-10,1851,781
04-11,1048,371
04-12,1815,819
04-13,3027,1326
04-14,1079,517
04-15,1686,682
04-16,1451,493
04-17,1251,437
04-18,1932,734
04-19,1168,503
04-20,2123,721
04-21,1263,357
05-01,2795,1044
05-03,2703,1132
05-05,5002,1650
05-06,3283,1444
05-07,5113,1440
05-08,2761,696
06-04,2691,1125
06-05,1692,1318
06-06,4009,2017
06-07,2100,1105
06-08,1458,623
06-09,4364,2540
06-10,2189,1461
07-01,1133,428
07-02,1050,513
07-03,1026,497
07-04,2846,953
07-05,1205,516
07-06,2214,1195
07-07,2300,1106
07-07A,320,208
07-09,2159,871
07-10,3599,1174
07-11,711,396
07-12,1872,658
07-13,1474,607
08-02,2579,1206
08-03,3635,1434
08-04,1016,658
08-05,1269,732
08-06,1597,413
08-07,1439,1011
08-08,2761,1351
08-09,1287,542
08-10,1921,725
08-11,2676,1079
09-01,1248,876
09-02,2116,870
09-03,2147,1277
10-01,585,586
10-02,2301,1208
10-03,1688,731
10-04,5159,2378
11-01,3782,1339
11-02,3035,1218
12-01,3317,2566
12-02,2991,1494
12-04,2509,2049
12-05,4481,2867
12-06,2351,1565
12-07,1599,1153
12-08,2885,1495
12-09,2935,1925
13-01,3792,854
13-02,1265,676
13-05,1548,402
13-06,1937,905
13-07,1700,478
13-08,2152,459
13-09,3199,785
13-10,3699,1853
13-11,1867,1096
14-01,381,380
14-02,3536,3090
15-01,2222,1688
15-02,3354,1940
15-03,2498,2134
15-04,1285,900
16-01,1763,901
16-02,3511,681
16-03,983,366
16-04,1636,864
16-05,1477,786
16-06,867,324
16-07,2082,982
16-09,2788,1135
16-10,3704,534
16-11,2495,442
17-01,1761,536
17-02,1030,461
17-03,4369,1393
17-04,4519,1585
17-05,2675,827
17-06,1324,742
17-07,2835,407
17-09,3021,318
17-10,799,313
17-11,3211,755
17-12,2484,585
17-13,3456,1286
18-01,3396,725
18-02,2618,1963
18-03,1504,737
18-04,2359,1512
18-05,3079,1721
18-06,2820,857
18-07,1842,1438
18-08,2840,1125
19-03,1752,1131
19-05,1668,1456
19-07,2504,1618
19-09,2638,1806
19-11,2014,1117
19-12,4146,2366
19-13,1391,644
19-14,1839,992
19-15,1708,1067
19-16,1612,888
19-17,3684,1237
19-18,1950,1110
19-19,3712,2454
19-20,2077,1222
19-21,3235,1481
20-01,2417,988
20-03,2685,1338
20-04,2409,956
20-05,2610,1354
20-06A,3263,1407
20-06B,2270,1144
20-08,2993,1555
20-09,1792,816
20-10,2144,881
20-11,3384,1537
20-12,3487,1542
20-14,4645,1672
20-15,3136,900
20-16,2932,866
20-17,3022,1120
