id,Lindsay Mahaffey,Steve Bergstrom,Write-In,over,under
03-00,3148,2010,45,4,768
06-04,2103,1113,29,0,571
06-05,1274,1205,29,1,501
06-06,3151,1883,67,4,921
06-08,1129,588,21,2,341
06-09,3321,2382,57,4,1140
06-10,1719,1338,44,1,548
12-09,2181,1768,51,2,858
18-05,2480,1480,57,1,781
20-01,1870,1061,24,7,443
20-03,2178,1268,31,2,544
20-05,1986,1239,33,3,703
20-06A,2713,1305,20,5,627
20-06B,1862,1082,23,4,443
20-08,2473,1422,47,4,602
20-09,1449,805,14,3,337
20-11,2733,1516,32,5,635
20-12,2785,1530,30,4,681
20-14,3562,1741,35,8,971
20-15,2003,776,19,2,494
20-16,1311,610,13,1,307
20-17,2293,1261,28,1,559
