id,Jean-Luc Duvall,M. C. Brock,Marshall Harvey,Scott Lassiter,Write-In,over,under
01-01,338,95,587,287,28,2,353
01-02,381,71,517,345,23,6,386
01-03,232,71,447,533,26,1,546
01-04,174,55,295,271,25,1,342
01-05,147,51,233,320,8,1,374
01-06,588,117,703,586,37,1,615
01-07,543,129,629,451,33,4,581
01-07A,28,25,84,48,2,0,56
01-09,184,30,430,208,19,2,248
01-10,243,61,364,331,15,1,400
01-11,287,117,435,769,33,5,782
01-12,313,75,431,456,16,1,487
01-13,312,60,522,253,27,1,282
01-14,707,146,1206,564,35,4,716
01-15,323,127,425,577,16,2,656
01-16,428,145,789,618,26,4,674
01-17,145,42,195,291,18,0,328
01-18,433,133,619,616,30,4,572
01-19,201,138,695,187,14,1,226
01-20,457,142,913,312,25,2,480
01-21,728,211,1061,811,38,3,758
01-22,458,225,1809,422,23,5,404
01-23,868,197,946,588,45,4,752
01-25,82,29,207,86,4,0,102
01-26,335,112,739,221,25,1,306
01-27,414,113,676,361,26,2,408
01-28,742,222,1382,677,42,5,764
01-29,238,100,634,678,34,3,636
01-30,172,53,266,343,12,0,406
01-31,679,176,879,545,42,5,592
01-32,523,132,644,527,30,0,468
01-33,247,65,464,434,13,0,444
01-34,200,88,567,165,4,2,197
01-35,274,157,852,252,9,4,227
01-36,354,124,481,787,28,1,725
01-37,306,81,372,479,23,4,493
01-38,333,114,595,427,22,3,471
01-39,425,165,666,515,19,3,575
01-40,437,264,1741,447,17,4,465
01-41,429,121,577,367,22,1,416
01-42,300,115,480,931,28,2,727
01-43,375,148,561,530,25,1,459
01-44,576,204,839,775,34,2,767
01-45,265,101,380,402,20,2,383
01-46,351,183,941,387,22,2,429
01-47,266,95,461,667,33,3,527
01-48,419,95,675,365,27,4,406
01-49,580,193,808,593,36,2,574
01-50,354,186,1314,349,14,4,367
01-51,183,56,226,272,6,2,275
02-01,413,136,569,976,27,2,882
02-02,752,230,957,2085,77,8,1456
02-03,374,112,478,1033,37,5,798
02-04,278,89,464,841,23,3,600
02-05,126,59,176,354,12,1,272
02-06,254,79,523,982,29,3,628
03-00,784,305,1387,2337,56,5,1101
04-01,392,114,537,558,20,1,403
04-02,438,152,654,652,26,0,412
04-03,387,120,516,486,14,0,344
04-04,323,92,391,425,11,4,250
04-05,672,192,872,963,38,5,682
04-06,505,146,647,827,13,3,636
04-07,370,124,456,1175,13,4,493
04-08,474,132,736,508,17,0,421
04-09,435,142,488,725,21,4,534
04-10,511,153,561,829,35,2,541
04-11,297,102,443,322,7,3,241
04-12,593,143,553,819,35,0,491
04-13,796,250,996,1332,46,5,928
04-14,277,102,398,495,11,2,311
04-15,494,144,621,637,22,0,450
04-16,464,87,469,527,16,2,379
04-17,353,86,451,470,11,1,316
04-18,592,146,678,684,25,2,539
04-19,344,80,409,509,16,0,315
04-20,605,178,837,685,28,2,509
04-21,382,121,453,371,13,2,278
05-01,816,250,883,1113,31,2,744
05-03,746,246,822,1134,32,4,851
05-05,1266,399,1984,1604,51,7,1341
05-06,901,292,1005,1443,38,2,1046
05-07,1417,551,1789,1555,56,14,1171
05-08,756,270,1054,742,30,6,599
06-04,608,263,890,1292,32,2,729
06-05,423,128,551,1208,30,4,666
06-06,965,340,1373,2036,68,6,1238
06-07,514,137,662,1116,27,1,748
06-08,339,140,513,648,18,1,422
06-09,1009,361,1355,2545,66,7,1561
06-10,533,227,759,1356,25,4,746
07-01,243,79,490,385,12,1,351
07-02,247,74,400,437,9,0,396
07-03,231,61,367,434,11,2,413
07-04,731,242,1043,869,47,4,869
07-05,295,81,435,470,16,2,422
07-06,574,166,734,1068,20,4,843
07-07,487,177,950,968,23,1,800
07-07A,56,31,113,86,1,0,241
07-09,534,170,739,781,32,2,772
07-10,851,255,1443,1252,32,3,937
07-11,145,60,286,317,21,2,277
07-12,475,138,733,603,14,5,562
07-13,345,117,477,549,17,4,572
08-02,655,192,1007,1105,37,1,788
08-03,939,307,1393,1386,33,7,1004
08-04,262,72,378,553,17,2,388
08-05,272,83,461,687,14,1,479
08-06,447,130,586,427,7,1,412
08-07,331,121,504,883,26,2,583
08-08,770,221,920,1225,33,0,942
08-09,355,106,469,462,14,2,421
08-10,503,169,654,773,21,0,526
08-11,613,212,1005,1076,28,3,818
09-01,203,135,553,741,32,0,460
09-02,383,247,907,911,24,2,512
09-03,363,242,896,1248,23,1,651
10-01,97,58,251,506,12,2,245
10-02,441,246,976,1159,32,2,653
