id,Audra Killingsworth,Brett Gantt,Christine Hale,Ed Gray,Gordon Williford,Tim Powell,Write-In,over,under
03-00,711,754,698,754,640,698,0,3,80
04-13,26,23,41,21,38,45,1,0,6
06-09,10,0,4,0,4,4,0,0,0
20-01,267,276,217,276,190,221,3,3,41
20-03,731,754,654,758,604,662,2,0,59
20-04,15,15,12,18,6,6,0,0,2
20-05,33,35,22,31,10,15,0,0,5
20-06A,777,811,582,786,536,564,2,3,106
20-06B,656,697,490,685,438,483,4,0,66
20-08,719,722,668,725,620,678,5,3,77
20-09,566,587,418,584,398,416,7,0,45
20-11,685,696,568,681,519,569,10,3,76
20-12,512,531,457,515,417,454,0,0,63
