id,Catherine (Cat) Lawson,Mary Black-Branch,Whitney Hill,Write-In,over,under
01-15,416,493,405,6,3,337
01-17,205,246,202,6,2,171
01-18,473,554,397,4,2,256
01-30,321,298,272,3,0,176
01-37,390,424,334,7,2,212
01-38,309,545,262,8,1,184
01-39,481,580,291,2,5,229
01-42,536,508,652,5,3,297
01-43,359,484,308,7,2,181
01-44,628,784,464,10,2,307
01-45,308,336,309,3,0,165
01-46,228,503,210,7,1,110
01-47,378,431,511,6,4,279
01-51,244,200,217,4,0,138
02-01,123,187,148,2,0,117
02-06,189,161,243,1,0,115
07-02,327,309,296,2,3,213
07-03,336,420,291,1,0,192
07-04,725,956,487,8,4,400
07-05,327,417,333,5,3,153
07-06,747,775,783,5,4,474
07-07,606,780,532,9,4,482
07-07A,112,149,81,0,0,137
07-09,594,691,444,4,1,344
07-11,218,329,233,4,3,141
07-13,404,503,390,2,3,227
08-05,139,187,125,0,1,114
08-06,249,452,232,10,1,177
08-07,15,18,21,0,0,22
13-05,227,461,193,12,0,153
