id,Corey Branch,Frank T. Fields III,Wanda Hunter,Write-In,over,under
01-13,580,274,209,12,0,149
01-14,1136,654,470,11,3,377
01-19,295,247,201,3,1,74
01-20,623,423,298,5,2,220
01-22,837,542,355,3,2,111
01-26,482,342,226,9,1,119
01-28,976,649,578,9,2,300
01-34,343,190,199,1,3,64
01-35,402,317,255,2,1,82
01-40,704,555,512,6,6,156
01-50,625,445,306,2,2,85
16-02,338,211,193,3,0,74
16-10,808,546,497,8,4,161
16-11,463,343,318,5,5,99
17-01,399,338,279,12,0,195
17-05,742,500,415,17,6,314
17-07,692,474,398,4,2,164
17-09,763,422,453,2,6,169
17-10,210,157,195,8,0,136
