id,Christina Jones,David Knight,Write-In,over,under
01-03,559,688,8,0,316
01-04,352,384,5,0,118
01-05,517,299,2,2,113
01-09,432,413,2,0,107
01-10,465,627,5,1,152
01-11,534,1101,18,2,368
01-12,528,598,8,0,272
01-16,793,747,13,2,391
01-29,640,836,15,0,366
01-33,551,580,2,0,271
01-36,651,793,13,2,367
05-05,1812,1365,14,4,839
07-01,476,416,4,1,229
07-10,1257,930,13,1,559
07-12,722,726,9,1,285
08-02,861,823,14,1,450
08-03,1331,1014,15,1,698
08-08,740,686,5,2,464
08-09,581,529,6,1,225
08-10,684,560,13,3,326
08-11,981,850,20,4,610
11-02,1295,1034,18,4,588
