id,No,Yes,over,under
01-01,221,1021,0,58
01-02,267,987,0,46
01-03,431,1070,0,70
01-04,215,610,0,34
01-05,269,628,0,36
01-06,321,1522,1,89
01-07,282,1463,0,61
01-07A,20,93,0,20
01-09,173,761,0,20
01-10,269,938,1,42
01-11,533,1409,2,79
01-12,286,1064,0,56
01-13,206,997,2,17
01-14,385,2196,1,69
01-15,433,1132,1,94
01-16,500,1369,2,75
01-17,252,552,0,28
01-18,499,1128,0,59
01-19,125,659,1,36
01-20,221,1299,0,51
01-21,522,1677,1,92
01-22,337,1451,1,63
01-23,303,1646,3,136
01-25,37,209,0,15
01-26,152,983,0,44
01-27,210,1184,1,44
01-28,459,1955,2,98
01-29,526,1251,3,77
01-30,294,739,0,38
01-31,271,1121,1,81
01-32,357,1008,0,61
01-33,335,1010,0,59
01-34,109,672,1,18
01-35,200,809,0,50
01-36,473,1268,0,85
01-37,417,897,1,54
01-38,416,844,1,48
01-39,425,1089,2,72
01-40,388,1482,1,68
01-41,242,1041,0,57
01-42,746,1179,0,76
01-43,399,894,1,47
01-44,582,1524,1,88
01-45,407,682,0,32
01-46,242,761,1,55
01-47,596,952,0,60
01-48,309,1153,1,48
01-49,263,970,0,70
01-50,290,1129,0,46
01-51,260,516,1,28
02-01,149,404,0,24
02-04,67,101,1,5
02-06,240,439,0,31
04-05,91,254,0,13
05-05,1072,2769,2,191
07-01,294,784,0,48
07-02,332,773,0,45
07-03,329,874,2,35
07-04,699,1768,4,109
07-05,403,794,1,40
07-06,897,1775,0,116
07-07,744,1577,0,92
07-07A,113,337,0,29
07-09,547,1459,1,71
07-10,670,1983,2,105
07-11,272,621,1,34
07-12,452,1225,0,66
07-13,466,992,0,71
08-02,583,1487,0,78
08-03,855,2070,2,132
08-05,159,384,0,23
08-06,246,819,0,56
08-07,27,46,0,3
08-08,603,1216,0,78
08-09,418,861,1,62
08-10,421,1110,1,54
08-11,710,1626,2,126
11-01,700,2127,4,169
11-02,824,1988,0,127
13-01,665,1978,1,113
13-02,439,922,0,61
13-05,264,741,0,41
13-06,661,1252,1,87
13-07,348,738,0,35
13-08,317,939,3,68
13-09,657,1645,0,121
13-10,1330,2525,2,200
13-11,759,1230,0,99
16-02,171,613,0,35
16-10,445,1500,1,78
16-11,271,922,2,38
17-01,355,822,0,46
17-03,892,2315,3,116
17-04,252,654,0,37
17-05,589,1332,1,72
17-07,370,1308,0,56
17-09,363,1381,1,70
17-10,248,423,1,34
17-11,586,1612,0,71
18-01,441,1577,2,88
18-06,346,1261,1,81
19-13,357,772,1,78
19-14,569,1187,0,101
19-15,430,690,0,49
19-16,210,424,0,38
19-17,961,1920,2,128
19-21,392,785,3,72
