id,Jeff Dobson,Nancy (Lorrin) Freeman,over,under
01-01,234,1029,0,37
01-02,249,1010,1,40
01-03,608,879,0,83
01-04,326,509,0,25
01-05,375,501,0,57
01-06,395,1457,0,81
01-07,420,1327,1,58
01-07A,27,100,0,7
01-09,194,735,0,25
01-10,377,838,0,35
01-11,892,1045,0,86
01-12,440,931,0,35
01-13,190,1002,0,30
01-14,419,2157,0,75
01-15,591,1044,0,25
01-16,542,1342,0,61
01-17,357,459,0,16
01-18,569,1077,2,38
01-19,51,755,0,18
01-20,163,1365,0,43
01-21,566,1691,2,43
01-22,112,1833,0,42
01-23,367,1665,0,53
01-25,27,232,0,3
01-26,97,1045,0,37
01-27,210,1188,0,41
01-28,319,2147,0,48
01-29,724,1072,1,60
01-30,378,664,0,28
01-31,266,1172,1,35
01-32,337,1052,2,35
01-33,414,931,2,57
01-34,42,740,0,18
01-35,62,969,0,28
01-36,764,1030,1,31
01-37,520,826,1,22
01-38,353,931,1,24
01-39,455,1107,0,26
01-40,133,1761,1,45
01-41,269,1042,0,29
01-42,967,994,0,42
01-43,411,901,1,28
01-44,616,1538,3,38
01-45,434,668,0,20
01-46,175,888,0,16
01-47,685,879,0,42
01-48,289,1179,2,41
01-49,309,1074,0,40
01-50,110,1375,0,28
01-51,292,495,0,16
02-01,1131,1255,0,55
02-02,2280,2104,2,88
02-03,1188,1025,1,42
02-04,1025,861,0,33
02-05,386,438,0,13
02-06,1032,882,0,50
03-00,2076,2748,2,95
04-01,470,996,0,45
04-02,582,1100,0,40
04-03,421,779,0,28
04-04,350,624,0,26
04-05,861,1704,0,68
04-06,782,1431,1,68
04-07,1032,1066,0,55
04-08,461,1176,0,31
04-09,704,1007,0,26
04-10,679,1206,1,57
04-11,290,665,1,34
04-12,748,1295,0,51
04-13,1129,2076,1,77
04-14,426,780,0,43
04-15,579,1117,0,62
04-16,426,1007,0,34
04-17,356,845,0,27
04-18,540,1249,0,45
04-19,439,870,0,24
04-20,589,1327,0,63
04-21,265,660,0,26
05-01,925,1560,0,45
05-03,1006,1640,0,42
05-05,1276,2723,0,48
05-06,1234,2249,0,51
05-07,1124,3052,3,67
05-08,615,1755,0,35
06-04,1033,1527,1,52
06-05,1273,1018,1,76
06-06,1828,2407,0,74
06-07,969,1318,0,80
06-08,592,864,0,32
06-09,2587,2779,1,118
06-10,1508,1537,1,66
07-01,330,750,0,46
07-02,438,689,0,33
07-03,453,769,0,18
07-04,747,1789,2,42
07-05,425,801,0,15
07-06,1102,1610,0,76
07-07,905,1515,1,55
07-07A,155,309,0,17
07-09,665,1369,1,49
07-10,937,2115,2,65
07-11,346,562,1,19
07-12,549,1159,0,35
07-13,528,989,0,36
08-02,1044,1808,1,57
08-03,1171,2068,0,114
08-04,685,737,0,18
08-05,652,940,0,37
08-06,286,860,0,18
08-07,936,1029,3,40
08-08,1202,1812,0,112
08-09,459,863,0,29
08-10,584,1148,1,68
08-11,884,1597,0,79
09-01,858,577,0,37
09-02,698,1024,0,25
09-03,1206,1283,0,38
10-01,531,262,1,19
10-02,1011,1116,1,17
10-03,713,899,0,25
10-05,1172,1266,0,41
10-06,1118,2199,1,60
11-01,920,2062,2,99
11-02,1010,1857,2,83
12-01,2521,1921,2,140
12-02,1535,1736,1,109
12-04,2101,1373,0,117
12-06,1768,1634,1,118
12-07,1113,924,0,50
12-08,1417,1681,0,47
12-09,1989,1588,0,108
12-10,1624,1787,0,129
12-11,1194,1018,0,65
13-01,607,2193,0,37
13-02,601,794,1,29
13-05,262,784,1,18
13-06,749,1216,0,37
13-07,379,925,1,20
13-08,289,1126,0,22
13-09,544,1843,0,47
13-10,1547,2413,1,106
13-11,1001,1275,0,51
14-01,388,197,0,13
14-02,3088,2027,2,83
15-01,1598,1207,2,99
15-02,1817,1892,1,134
15-03,2130,1399,0,96
15-04,882,733,0,60
16-01,723,782,0,66
16-02,449,1951,0,59
16-03,344,577,0,17
16-04,827,1154,2,41
16-05,675,826,1,60
16-06,271,518,1,19
16-07,943,1453,0,43
16-09,1000,1795,1,95
16-10,344,2071,1,32
16-11,441,1571,0,34
17-01,373,1069,1,17
17-02,447,620,0,19
17-03,999,2727,1,82
17-04,1208,2502,2,72
17-05,605,1596,1,34
17-06,667,729,1,25
17-07,298,1688,0,30
17-09,202,1677,1,23
17-10,233,455,0,19
17-11,552,1788,1,33
17-12,438,1380,0,22
17-13,1023,2084,1,44
18-01,450,1794,1,43
18-02,1835,1694,1,118
18-03,633,1017,0,71
18-04,1447,1552,0,76
18-05,1600,2152,1,140
18-06,607,1660,2,55
18-07,1469,1194,2,45
18-08,1016,1718,1,51
19-03,941,1006,0,38
19-05,1337,1044,1,43
19-07,1690,1804,1,64
19-09,1765,1332,0,59
19-11,996,1190,2,46
19-12,2104,2355,1,79
19-13,505,791,0,25
19-14,820,1004,1,29
19-15,881,993,1,36
19-16,776,932,1,32
19-17,972,2145,0,56
19-18,1057,1190,0,49
19-19,2449,2250,0,96
19-20,1161,1246,1,47
19-21,1299,1914,1,53
20-01,864,1415,0,38
20-03,1185,1804,1,65
20-04,811,1536,0,49
20-05,1326,1678,1,98
20-06A,1284,2042,4,61
20-06B,1014,1526,0,47
20-08,1346,1893,2,60
20-09,800,1213,0,32
20-10,735,1470,1,51
20-11,1527,2307,0,75
20-12,1421,2377,1,54
20-14,1486,2978,0,68
20-15,776,1890,1,44
20-16,713,1727,1,34
20-17,1033,1969,2,43
