id,Gale Murray Adams,John M. Tyson,over,under
01-01,1052,221,1,26
01-02,993,268,0,39
01-03,834,691,0,45
01-04,483,352,0,24
01-05,487,405,0,41
01-06,1479,408,0,46
01-07,1390,373,0,43
01-07A,97,26,0,11
01-09,740,191,0,23
01-10,809,413,0,28
01-11,922,1039,0,62
01-12,922,451,1,32
01-13,1026,171,0,26
01-14,2186,413,1,51
01-15,986,643,0,31
01-16,1335,564,0,47
01-17,439,371,0,22
01-18,1068,588,0,30
01-19,760,53,0,11
01-20,1406,145,0,20
01-21,1743,531,2,26
01-22,1860,98,0,27
01-23,1698,335,7,42
01-25,238,26,0,0
01-26,1059,92,0,28
01-27,1230,185,0,24
01-28,2152,323,2,37
01-29,983,816,0,58
01-30,649,392,0,32
01-31,1198,249,0,27
01-32,1052,344,1,29
01-33,907,457,0,40
01-34,734,47,0,19
01-35,979,55,0,25
01-36,963,825,1,37
01-37,809,543,0,17
01-38,922,367,0,20
01-39,1103,462,0,23
01-40,1787,125,1,27
01-41,1048,264,0,28
01-42,953,1017,0,33
01-43,896,421,1,23
01-44,1517,635,1,42
01-45,667,440,0,16
01-46,880,185,1,13
01-47,868,713,1,27
01-48,1184,293,1,33
01-49,1100,304,1,18
01-50,1386,109,0,21
01-51,479,306,0,18
02-01,1239,1156,0,46
02-02,2136,2280,1,57
02-03,1022,1197,0,37
02-04,859,1032,2,26
02-05,437,385,0,14
02-06,857,1075,2,30
03-00,2763,2076,1,82
04-01,998,485,0,28
04-02,1093,592,1,36
04-03,793,413,1,21
04-04,635,354,0,11
04-05,1714,867,1,51
04-06,1431,796,4,53
04-07,1054,1064,0,35
04-08,1176,462,0,30
04-09,1031,689,0,17
04-10,1233,675,1,34
04-11,680,296,1,17
04-12,1314,744,0,37
04-13,2084,1129,0,70
04-14,789,430,1,29
04-15,1129,584,0,45
04-16,1015,419,1,32
04-17,860,355,0,13
04-18,1242,555,0,37
04-19,869,440,0,24
04-20,1350,599,0,30
04-21,675,261,0,15
05-01,1553,938,1,38
05-03,1648,1010,0,30
05-05,2708,1290,1,48
05-06,2241,1244,2,47
05-07,3067,1120,3,56
05-08,1758,610,0,37
06-04,1530,1045,0,38
06-05,1031,1291,0,46
06-06,2450,1799,1,59
06-07,1344,985,0,38
06-08,875,588,1,24
06-09,2815,2569,1,100
06-10,1544,1515,1,52
07-01,758,344,0,24
07-02,681,452,0,27
07-03,771,452,0,17
07-04,1794,737,1,48
07-05,790,427,0,24
07-06,1536,1194,0,58
07-07,1518,920,1,37
07-07A,284,175,0,23
07-09,1345,689,2,48
07-10,2123,939,2,55
07-11,545,366,0,17
07-12,1135,562,2,44
07-13,973,553,0,27
08-02,1772,1081,0,57
08-03,2093,1191,0,69
08-04,724,698,1,17
08-05,932,661,0,36
08-06,853,294,0,17
08-07,1010,963,0,36
08-08,1845,1224,1,56
08-09,863,463,0,25
08-10,1164,601,0,36
08-11,1642,871,0,47
09-01,583,860,0,29
09-02,1016,702,0,29
09-03,1277,1226,0,24
10-01,253,542,0,18
10-02,1101,1024,0,20
10-03,888,718,0,31
10-05,1251,1189,0,39
10-06,2192,1127,2,57
11-01,2086,946,0,51
11-02,1840,1054,2,56
12-01,1964,2538,0,82
12-02,1786,1530,0,65
12-04,1388,2142,0,61
12-06,1640,1816,0,65
12-07,935,1124,1,27
12-08,1678,1408,1,58
12-09,1605,2021,1,58
12-10,1836,1640,2,62
12-11,1020,1214,0,43
13-01,2211,604,0,22
13-02,804,590,1,30
13-05,800,251,1,13
13-06,1210,756,0,36
13-07,931,372,2,20
13-08,1140,279,0,20
13-09,1861,543,0,30
13-10,2401,1590,0,76
13-11,1276,1005,1,42
14-01,194,393,0,11
14-02,2063,3074,1,62
15-01,1235,1624,0,47
15-02,1906,1864,0,74
15-03,1405,2171,0,49
15-04,746,897,0,32
16-01,786,748,0,37
16-02,1980,434,1,44
16-03,577,345,0,16
16-04,1124,866,2,32
16-05,826,696,1,39
16-06,516,273,0,20
16-07,1421,975,0,43
16-09,1822,1021,2,46
16-10,2082,346,1,19
16-11,1581,445,0,20
17-01,1054,388,0,18
17-02,615,450,0,21
17-03,2694,1038,2,75
17-04,2494,1229,1,60
17-05,1592,608,0,36
17-06,719,676,0,27
17-07,1698,293,0,25
17-09,1672,209,1,21
17-10,452,239,0,18
17-11,1786,567,5,16
17-12,1381,441,2,18
17-13,2058,1050,1,43
18-01,1825,428,0,35
18-02,1698,1873,0,77
18-03,1039,657,0,27
18-04,1544,1468,0,63
18-05,2184,1643,0,66
18-06,1679,612,0,33
18-07,1193,1476,0,41
18-08,1731,1014,0,41
19-03,1015,939,0,31
19-05,1042,1354,0,29
19-07,1838,1666,0,55
19-09,1346,1769,1,40
19-11,1196,997,0,41
19-12,2372,2112,1,54
19-13,797,500,1,23
19-14,1009,822,1,22
19-15,996,894,0,21
19-16,915,791,1,34
19-17,2160,968,2,43
19-18,1204,1051,0,41
19-19,2291,2427,1,76
19-20,1258,1165,0,32
19-21,1931,1297,1,38
20-01,1409,870,1,37
20-03,1810,1192,1,52
20-04,1547,811,1,37
20-05,1718,1337,0,48
20-06A,2069,1263,0,59
20-06B,1539,1010,0,38
20-08,1882,1358,4,57
20-09,1207,800,1,37
20-10,1485,726,0,46
20-11,2329,1521,0,59
20-12,2389,1421,0,43
20-14,2976,1511,3,42
20-15,1933,739,1,38
20-16,1738,707,0,30
20-17,1995,1019,1,32
