id,Darren Jackson,Michael J. Stading,over,under
01-01,1047,222,0,31
01-02,1000,258,0,42
01-03,854,661,0,55
01-04,485,351,0,24
01-05,503,390,0,40
01-06,1495,389,0,49
01-07,1397,370,0,39
01-07A,97,30,0,9
01-09,737,194,0,23
01-10,815,406,1,28
01-11,968,980,0,75
01-12,923,448,1,34
01-13,1022,173,0,27
01-14,2186,416,0,49
01-15,990,628,5,37
01-16,1324,567,0,55
01-17,444,368,0,20
01-18,1052,599,0,35
01-19,756,48,0,20
01-20,1397,150,1,23
01-21,1736,535,2,29
01-22,1854,101,1,31
01-23,1702,335,0,48
01-25,234,27,1,1
01-26,1063,91,0,25
01-27,1216,197,0,26
01-28,2159,316,1,38
01-29,978,812,0,67
01-30,647,389,1,34
01-31,1199,248,0,27
01-32,1055,334,2,35
01-33,913,445,0,46
01-34,734,47,0,19
01-35,986,52,1,23
01-36,969,822,1,34
01-37,820,527,0,22
01-38,923,363,0,23
01-39,1092,468,1,27
01-40,1762,144,2,32
01-41,1046,265,1,28
01-42,957,1002,0,44
01-43,892,424,0,25
01-44,1500,654,0,41
01-45,670,437,0,16
01-46,873,186,2,18
01-47,857,719,1,30
01-48,1181,297,0,33
01-49,1086,307,0,30
01-50,1374,111,2,27
01-51,472,310,0,21
02-01,1243,1141,0,57
02-02,2133,2276,1,64
02-03,1011,1210,1,34
02-04,851,1039,0,29
02-05,432,392,0,14
02-06,859,1074,0,31
03-00,2728,2100,1,93
04-01,992,484,0,35
04-02,1091,596,0,35
04-03,785,420,0,23
04-04,619,365,0,16
04-05,1708,863,1,61
04-06,1420,800,2,60
04-07,1033,1080,3,37
04-08,1180,456,0,32
04-09,1022,689,1,25
04-10,1218,685,1,39
04-11,684,285,0,22
04-12,1309,749,0,36
04-13,2080,1124,1,78
04-14,784,438,0,27
04-15,1114,594,0,50
04-16,1013,420,3,31
04-17,852,360,0,16
04-18,1242,552,0,40
04-19,865,445,1,22
04-20,1343,597,0,39
04-21,673,260,0,18
05-01,1552,933,0,45
05-03,1627,1027,0,34
05-05,2704,1282,0,61
05-06,2226,1255,1,52
05-07,3061,1120,3,62
05-08,1750,615,0,40
06-04,1524,1039,0,50
06-05,1030,1291,0,47
06-06,2447,1786,3,73
06-07,1328,994,1,44
06-08,872,591,0,25
06-09,2797,2574,6,105
06-10,1532,1524,3,53
07-01,754,346,1,25
07-02,669,465,0,26
07-03,759,463,1,17
07-04,1765,763,2,50
07-05,795,425,0,21
07-06,1537,1184,0,67
07-07,1500,928,1,47
07-07A,284,174,0,23
07-09,1358,675,2,49
07-10,2105,945,2,67
07-11,530,381,1,16
07-12,1131,565,0,47
07-13,969,559,1,24
08-02,1762,1084,1,63
08-03,2118,1167,3,65
08-04,736,683,0,21
08-05,940,657,0,32
08-06,853,295,0,16
08-07,991,979,0,39
08-08,1844,1220,0,62
08-09,853,470,0,28
08-10,1156,607,0,38
08-11,1623,887,0,50
09-01,587,861,0,24
09-02,1041,675,0,31
09-03,1297,1205,1,24
10-01,257,539,0,17
10-02,1130,994,1,20
10-03,930,680,1,26
10-05,1281,1164,0,34
10-06,2212,1107,1,58
11-01,2119,903,0,61
11-02,1831,1059,0,62
12-01,1950,2546,0,88
12-02,1780,1525,3,73
12-04,1385,2134,0,72
12-06,1662,1783,3,73
12-07,929,1126,1,31
12-08,1651,1430,1,63
12-09,1588,2033,1,63
12-10,1816,1653,2,69
12-11,999,1229,0,49
13-01,2202,610,2,23
13-02,807,590,0,28
13-05,790,261,0,14
13-06,1207,755,0,40
13-07,932,372,0,20
13-08,1139,277,1,21
13-09,1857,545,1,31
13-10,2401,1583,0,83
13-11,1265,1014,1,44
14-01,200,388,0,11
14-02,2054,3080,0,66
15-01,1224,1625,3,54
15-02,1906,1853,1,84
15-03,1404,2163,0,58
15-04,753,887,0,35
16-01,784,745,0,42
16-02,1960,454,2,43
16-03,575,346,0,17
16-04,1107,876,1,40
16-05,820,702,1,39
16-06,509,280,0,20
16-07,1425,964,0,50
16-09,1818,1025,0,48
16-10,2065,355,3,25
16-11,1570,455,1,20
17-01,1049,393,0,18
17-02,627,440,0,19
17-03,2702,1028,1,78
17-04,2506,1218,1,59
17-05,1582,619,0,35
17-06,736,658,1,27
17-07,1688,297,0,31
17-09,1665,215,4,19
17-10,451,241,1,15
17-11,1799,554,3,18
17-12,1388,435,0,16
17-13,2094,1017,0,41
18-01,1805,447,0,36
18-02,1659,1899,1,89
18-03,1033,659,1,28
18-04,1538,1459,2,76
18-05,2176,1651,3,63
18-06,1675,611,0,38
18-07,1182,1490,0,38
18-08,1728,1010,2,46
19-03,1004,948,0,33
19-05,1034,1359,1,31
19-07,1823,1675,4,57
19-09,1352,1764,1,39
19-11,1192,999,0,43
19-12,2353,2113,1,72
19-13,794,506,0,21
19-14,997,831,1,25
19-15,1001,886,0,24
19-16,922,782,0,37
19-17,2165,964,1,43
19-18,1196,1050,1,49
19-19,2278,2431,0,86
19-20,1256,1161,0,38
19-21,1930,1298,2,37
20-01,1402,872,1,42
20-03,1804,1192,0,59
20-04,1521,831,0,44
20-05,1694,1359,0,50
20-06A,2035,1283,2,71
20-06B,1525,1024,0,38
20-08,1873,1361,2,65
20-09,1195,807,0,43
20-10,1474,733,0,50
20-11,2317,1524,1,67
20-12,2388,1414,3,48
20-14,2967,1512,0,53
20-15,1936,732,0,43
20-16,1737,707,1,30
20-17,1987,1023,0,37
