id,Cynthia Baddour Kenney,under
01-42,1129,874
01-47,992,617
02-01,1404,1037
02-02,2486,1988
02-03,1204,1052
02-04,1030,889
02-05,482,356
02-06,1034,930
07-02,754,406
07-06,1740,1048
07-07,1652,824
07-07A,307,173
08-04,836,604
08-05,1037,592
08-07,1152,856
09-01,735,737
09-03,1496,1031
10-01,346,467
13-10,2635,1432
13-11,1433,891
14-01,248,349
14-02,2566,2634
19-03,1160,825
19-05,1228,1197
19-07,2104,1455
19-09,1650,1506
19-11,1353,881
19-12,2730,1809
19-13,884,437
19-14,1153,701
19-15,1139,772
19-18,1386,910
19-19,2714,2081
19-20,1424,1031
19-21,2159,1108
