id,J. Brian Ratledge,under
01-01,456,844
01-02,481,819
01-03,876,694
01-05,516,417
01-06,749,1184
01-07,697,1109
01-07A,42,92
01-11,1269,754
01-16,815,1131
01-29,1043,814
01-33,640,764
01-49,610,813
04-01,658,853
04-02,845,877
04-03,598,633
04-04,497,503
04-05,1184,1449
04-06,1096,1186
04-07,1271,882
04-08,742,926
04-09,929,808
04-10,964,979
04-11,409,582
04-12,1027,1068
04-14,618,631
04-15,851,907
04-16,631,836
04-17,514,714
04-18,821,1013
04-20,872,1107
04-21,404,547
05-05,1899,2148
06-05,1558,810
06-07,1288,1079
07-01,516,610
07-10,1463,1656
08-03,1716,1637
08-08,1672,1454
08-10,899,902
08-11,1323,1237
11-01,1496,1587
11-02,1468,1484
12-01,3001,1583
12-02,1946,1435
12-04,2464,1127
12-06,2174,1347
12-07,1342,745
12-09,2444,1241
12-10,2090,1450
12-11,1431,846
15-01,1918,988
15-02,2301,1543
15-03,2477,1148
15-04,1086,591
16-01,945,626
16-05,854,708
16-09,1437,1454
18-02,2231,1417
18-03,838,884
18-05,2136,1757
20-03,1600,1455
20-05,1712,1391
20-09,1041,1006
