id,Carolyn Jennings Thompson,Julee Tate Flood,over,under
01-01,1056,221,0,23
01-02,1022,239,1,38
01-03,867,660,1,42
01-04,486,348,0,24
01-05,515,384,0,34
01-06,1492,387,0,54
01-07,1396,372,0,38
01-07A,104,27,0,3
01-09,749,188,0,17
01-10,824,401,0,25
01-11,950,1014,0,59
01-12,930,446,0,30
01-13,1025,174,0,23
01-14,2220,384,0,47
01-15,996,635,1,28
01-16,1357,549,1,39
01-17,447,368,0,17
01-18,1066,588,0,32
01-19,766,46,0,10
01-20,1404,145,0,22
01-21,1749,525,0,28
01-22,1863,90,1,31
01-23,1702,340,0,43
01-25,241,19,0,1
01-26,1067,90,0,22
01-27,1233,181,0,25
01-28,2165,316,1,32
01-29,1020,779,1,57
01-30,648,396,0,27
01-31,1203,251,0,20
01-32,1059,348,0,19
01-33,911,441,1,51
01-34,747,40,0,13
01-35,985,56,0,21
01-36,985,810,1,30
01-37,819,530,0,20
01-38,931,356,0,22
01-39,1105,461,0,22
01-40,1787,126,0,27
01-41,1059,252,0,29
01-42,976,993,1,33
01-43,909,410,0,22
01-44,1524,639,1,31
01-45,672,438,0,13
01-46,885,178,1,15
01-47,880,706,0,22
01-48,1187,292,0,32
01-49,1093,308,0,22
01-50,1398,101,1,14
01-51,478,309,0,16
02-01,1256,1127,0,58
02-02,2153,2267,0,54
02-03,1031,1194,0,31
02-04,869,1023,0,27
02-05,439,385,0,12
02-06,878,1061,0,25
03-00,2768,2075,0,78
04-01,1018,463,0,30
04-02,1103,585,0,34
04-03,795,414,0,19
04-04,629,361,0,10
04-05,1728,850,0,55
04-06,1446,789,0,47
04-07,1063,1052,0,38
04-08,1190,446,0,32
04-09,1031,690,0,16
04-10,1234,673,1,35
04-11,684,291,0,16
04-12,1313,748,2,31
04-13,2104,1127,0,52
04-14,791,435,1,22
04-15,1126,584,1,47
04-16,1025,414,0,28
04-17,866,347,1,14
04-18,1246,547,0,41
04-19,878,434,1,20
04-20,1353,596,0,30
04-21,680,256,0,15
05-01,1560,938,2,30
05-03,1655,1000,1,32
05-05,2724,1272,1,50
05-06,2261,1227,0,46
05-07,3091,1107,2,46
05-08,1765,602,1,37
06-04,1543,1031,0,39
06-05,1047,1280,0,41
06-06,2459,1792,2,56
06-07,1337,994,0,36
06-08,872,591,0,25
06-09,2822,2563,1,99
06-10,1548,1506,1,57
07-01,765,340,0,21
07-02,692,439,0,29
07-03,772,452,0,16
07-04,1794,742,1,43
07-05,801,422,1,17
07-06,1555,1173,1,59
07-07,1520,917,0,39
07-07A,295,165,0,20
07-09,1376,665,0,43
07-10,2126,932,1,60
07-11,548,367,0,13
07-12,1147,563,0,33
07-13,978,552,1,22
08-02,1795,1058,0,57
08-03,2109,1181,1,62
08-04,738,683,1,18
08-05,943,655,1,30
08-06,865,283,0,16
08-07,1010,971,0,30
08-08,1854,1220,0,52
08-09,861,468,2,20
08-10,1169,597,1,34
08-11,1653,868,0,39
09-01,579,870,0,23
09-02,1019,700,0,28
09-03,1279,1225,1,22
10-01,262,532,0,19
10-02,1116,1015,0,14
10-03,898,716,0,23
10-05,1260,1184,0,35
10-06,2217,1115,0,46
11-01,2111,919,0,53
11-02,1854,1034,0,62
12-01,1970,2532,0,82
12-02,1787,1531,1,62
12-04,1380,2151,0,60
12-06,1668,1788,1,64
12-07,929,1135,0,23
12-08,1677,1418,0,50
12-09,1609,2025,1,50
12-10,1849,1637,1,53
12-11,1014,1220,0,43
13-01,2214,599,1,23
13-02,803,594,1,27
13-05,800,256,0,9
13-06,1226,743,0,33
13-07,940,365,2,17
13-08,1149,272,0,16
13-09,1870,532,1,31
13-10,2435,1553,3,76
13-11,1279,1004,0,41
14-01,201,388,0,10
14-02,2077,3065,1,57
15-01,1259,1605,0,42
15-02,1943,1836,3,62
15-03,1421,2154,1,49
15-04,747,895,0,33
16-01,793,746,0,32
16-02,1990,438,1,30
16-03,575,345,0,18
16-04,1137,859,0,28
16-05,830,697,0,35
16-06,523,265,0,21
16-07,1433,966,0,40
16-09,1826,1023,0,42
16-10,2092,335,1,20
16-11,1588,434,1,23
17-01,1058,384,1,17
17-02,610,455,0,21
17-03,2719,1020,1,69
17-04,2497,1230,1,56
17-05,1613,595,0,28
17-06,712,686,1,23
17-07,1699,288,0,29
17-09,1687,198,3,15
17-10,457,231,0,20
17-11,1814,547,0,13
17-12,1394,430,0,17
17-13,2067,1037,0,48
18-01,1827,430,0,31
18-02,1703,1870,1,74
18-03,1041,656,0,25
18-04,1566,1457,1,51
18-05,2210,1631,3,49
18-06,1686,613,0,25
18-07,1200,1469,0,41
18-08,1737,1015,1,33
19-03,1012,944,1,28
19-05,1041,1355,1,28
19-07,1849,1667,1,42
19-09,1367,1748,3,38
19-11,1211,984,1,38
19-12,2362,2117,0,60
19-13,800,500,0,21
19-14,1004,826,0,24
19-15,1001,884,0,26
19-16,916,795,0,30
19-17,2176,962,2,33
19-18,1221,1037,1,37
19-19,2311,2409,1,74
19-20,1261,1167,1,26
19-21,1927,1299,5,36
20-01,1416,868,0,33
20-03,1818,1178,1,58
20-04,1545,816,0,35
20-05,1731,1328,1,43
20-06A,2056,1282,0,53
20-06B,1523,1032,0,32
20-08,1906,1342,1,52
20-09,1216,801,0,28
20-10,1479,735,0,43
20-11,2321,1526,0,62
20-12,2410,1407,0,36
20-14,2970,1515,1,46
20-15,1931,740,0,40
20-16,1736,706,0,33
20-17,1987,1026,1,33
