id,Brad A. Salmon,Donna Stroud,over,under
01-01,1007,266,1,26
01-02,926,333,2,39
01-03,759,764,0,47
01-04,428,403,2,26
01-05,432,464,1,36
01-06,1405,473,0,55
01-07,1298,470,0,38
01-07A,101,27,0,7
01-09,693,239,2,20
01-10,732,487,0,31
01-11,809,1158,1,55
01-12,853,521,1,31
01-13,978,217,0,29
01-14,2071,536,2,42
01-15,924,700,1,35
01-16,1259,647,1,39
01-17,402,415,1,14
01-18,995,662,0,29
01-19,747,56,2,17
01-20,1338,206,3,24
01-21,1662,612,0,28
01-22,1809,144,2,32
01-23,1644,400,1,40
01-25,230,30,0,1
01-26,1023,133,1,22
01-27,1162,250,1,26
01-28,2096,373,1,43
01-29,853,949,1,54
01-30,585,453,2,32
01-31,1141,308,1,24
01-32,1008,389,1,28
01-33,845,516,1,42
01-34,709,75,1,15
01-35,959,77,0,23
01-36,882,909,2,33
01-37,763,587,0,19
01-38,885,400,1,23
01-39,1049,512,1,26
01-40,1731,172,5,32
01-41,1012,304,0,24
01-42,893,1077,0,33
01-43,854,463,1,23
01-44,1444,714,1,36
01-45,635,473,2,13
01-46,864,199,2,14
01-47,804,778,1,22
01-48,1130,348,1,32
01-49,1050,346,4,23
01-50,1356,139,0,18
01-51,448,340,0,15
02-01,1178,1211,0,52
02-02,2029,2379,3,63
02-03,947,1275,1,33
02-04,822,1066,1,30
02-05,408,413,1,13
02-06,792,1145,0,27
03-00,2632,2206,3,81
04-01,953,527,0,31
04-02,1055,640,0,27
04-03,757,448,1,22
04-04,603,385,0,12
04-05,1631,946,0,56
04-06,1338,901,0,46
04-07,973,1146,0,34
04-08,1143,495,0,30
04-09,973,746,1,17
04-10,1166,737,0,40
04-11,662,311,0,19
04-12,1230,827,6,32
04-13,1970,1259,2,52
04-14,759,464,0,26
04-15,1053,655,0,50
04-16,958,478,1,30
04-17,813,397,0,18
04-18,1197,594,0,43
04-19,812,505,0,16
04-20,1293,649,1,36
04-21,660,277,0,14
05-01,1500,997,0,33
05-03,1560,1093,2,33
05-05,2599,1391,2,55
05-06,2124,1366,2,42
05-07,2967,1224,1,54
05-08,1694,678,1,32
06-04,1457,1110,2,44
06-05,981,1346,2,39
06-06,2337,1911,1,60
06-07,1269,1055,1,42
06-08,825,636,1,26
06-09,2675,2702,3,105
06-10,1489,1559,4,60
07-01,711,397,1,17
07-02,618,515,2,25
07-03,727,497,1,15
07-04,1712,812,4,52
07-05,745,477,0,19
07-06,1406,1319,4,59
07-07,1420,1013,2,41
07-07A,257,202,0,22
07-09,1284,760,0,40
07-10,2003,1053,3,60
07-11,501,412,1,14
07-12,1065,636,1,41
07-13,943,588,0,22
08-02,1666,1175,0,69
08-03,2009,1275,2,67
08-04,685,737,0,18
08-05,861,733,2,33
08-06,830,318,0,16
08-07,920,1054,0,35
08-08,1757,1310,2,57
08-09,816,509,1,25
08-10,1103,659,0,39
08-11,1573,949,0,38
09-01,549,900,0,23
09-02,974,751,0,22
09-03,1218,1294,1,14
10-01,235,560,0,18
10-02,1057,1076,0,12
10-03,843,770,4,20
10-05,1201,1245,1,32
10-06,2112,1208,2,56
11-01,1989,1041,1,52
11-02,1714,1179,2,57
12-01,1873,2628,2,81
12-02,1697,1617,2,65
12-04,1323,2208,2,58
12-06,1587,1862,2,70
12-07,887,1174,0,26
12-08,1605,1484,2,54
12-09,1522,2109,2,52
12-10,1727,1748,1,64
12-11,965,1263,1,48
13-01,2147,661,1,28
13-02,747,648,1,29
13-05,769,280,1,15
13-06,1146,819,2,35
13-07,910,395,1,16
13-08,1123,296,1,18
13-09,1799,600,2,33
13-10,2300,1694,1,72
13-11,1187,1092,1,46
14-01,191,398,0,9
14-02,1951,3186,6,57
15-01,1162,1699,1,44
15-02,1823,1955,4,62
15-03,1336,2235,2,52
15-04,715,925,0,35
16-01,744,793,1,33
16-02,1915,498,1,45
16-03,548,373,1,16
16-04,1057,936,2,29
16-05,801,725,1,35
16-06,501,286,2,20
16-07,1356,1046,1,36
16-09,1741,1101,5,44
16-10,2024,397,1,26
16-11,1537,482,3,24
17-01,1024,419,1,16
17-02,592,471,0,23
17-03,2596,1142,2,69
17-04,2380,1339,6,59
17-05,1550,645,2,39
17-06,682,717,1,22
17-07,1645,341,1,29
17-09,1621,254,3,25
17-10,439,248,2,20
17-11,1742,604,3,25
17-12,1325,489,1,26
17-13,1972,1132,2,46
18-01,1747,505,2,34
18-02,1570,1996,1,81
18-03,989,708,3,24
18-04,1454,1560,4,57
18-05,2045,1801,2,45
18-06,1614,685,0,25
18-07,1109,1558,1,42
18-08,1642,1111,0,33
19-03,968,988,1,28
19-05,998,1396,1,30
19-07,1770,1731,2,56
19-09,1294,1822,4,36
19-11,1146,1052,0,36
19-12,2243,2220,5,71
19-13,763,534,1,23
19-14,962,872,0,20
19-15,969,917,2,23
19-16,890,817,2,32
19-17,2105,1021,1,46
19-18,1151,1102,2,41
19-19,2174,2548,2,71
19-20,1203,1222,0,30
19-21,1862,1367,3,35
20-01,1361,919,0,37
20-03,1718,1274,0,63
20-04,1463,890,6,37
20-05,1624,1431,0,48
20-06A,1974,1359,2,56
20-06B,1443,1104,3,37
20-08,1796,1447,3,55
20-09,1153,860,1,31
20-10,1396,818,1,42
20-11,2215,1632,1,61
20-12,2289,1524,3,37
20-14,2845,1641,1,45
20-15,1849,817,1,44
20-16,1687,755,1,32
20-17,1901,1115,1,30
