id,Margaret Eagles,under
01-01,1094,206
01-02,1052,248
01-03,1001,569
01-05,595,338
01-06,1540,393
01-07,1456,350
01-07A,95,39
01-11,1182,841
01-16,1453,493
01-29,1189,668
01-33,1005,399
01-49,1150,273
04-01,1057,454
04-02,1183,539
04-03,860,368
04-04,679,321
04-05,1841,792
04-06,1535,748
04-07,1200,953
04-08,1243,425
04-09,1141,596
04-10,1310,633
04-11,702,289
04-12,1403,691
04-14,850,399
04-15,1203,555
04-16,1066,401
04-17,913,315
04-18,1325,509
04-20,1425,554
04-21,716,235
05-05,2885,1162
06-05,1231,1137
06-07,1485,882
07-01,802,324
07-10,2275,844
08-03,2314,1039
08-08,2056,1070
08-10,1280,521
08-11,1806,754
11-01,2258,825
11-02,2022,930
12-01,2367,2217
12-02,2036,1345
12-04,1719,1872
12-06,1984,1537
12-07,1084,1003
12-09,1967,1718
12-10,2088,1452
12-11,1194,1083
15-01,1511,1395
15-02,2234,1610
15-03,1745,1880
15-04,900,775
16-01,916,655
16-05,928,634
16-09,2002,889
18-02,1961,1687
18-03,1134,587
18-05,2429,1464
20-03,2013,1042
20-05,1927,1176
20-09,1368,677
