id,Rashad Hauter,under
01-42,1206,797
01-47,917,692
02-01,1406,1035
02-02,2757,1717
02-03,1435,821
02-04,1205,714
02-05,471,366
02-06,1235,729
07-02,630,530
07-06,1566,1222
07-07,1261,1215
07-07A,213,269
08-04,827,613
08-05,867,762
08-07,1192,816
09-01,986,486
09-03,1513,1014
10-01,615,198
13-10,2122,1945
13-11,1283,1042
14-01,434,165
14-02,3599,1601
19-03,1171,814
19-05,1582,843
19-07,2076,1483
19-09,2058,1098
19-11,1270,964
19-12,2650,1889
19-13,672,649
19-14,1088,766
19-15,1120,791
19-18,1377,919
19-19,2996,1799
19-20,1429,1026
19-21,1760,1507
