id,Ned W. Mangum,under
01-01,452,848
01-02,504,796
01-03,895,678
01-05,536,397
01-06,753,1180
01-07,704,1102
01-07A,45,90
01-11,1311,712
01-16,821,1125
01-29,1079,778
01-33,646,758
01-49,603,820
04-01,640,871
04-02,828,894
04-03,589,641
04-04,492,508
04-05,1170,1463
04-06,1064,1218
04-07,1244,909
04-08,732,936
04-09,913,824
04-10,947,996
04-11,389,602
04-12,1015,1079
04-14,591,658
04-15,833,925
04-16,608,859
04-17,500,728
04-18,819,1015
04-20,868,1111
04-21,397,554
05-05,1872,2175
06-05,1548,820
06-07,1277,1090
07-01,514,612
07-10,1437,1682
08-03,1697,1656
08-08,1665,1461
08-10,893,908
08-11,1302,1258
11-01,1499,1584
11-02,1471,1481
12-01,2997,1587
12-02,1940,1441
12-04,2424,1167
12-06,2149,1372
12-07,1329,758
12-09,2408,1277
12-10,2073,1467
12-11,1416,861
15-01,1896,1010
15-02,2271,1573
15-03,2461,1164
15-04,1083,594
16-01,940,631
16-05,839,723
16-09,1421,1470
18-02,2214,1434
18-03,853,870
18-05,2120,1773
20-03,1559,1496
20-05,1708,1395
20-09,1031,1015
