id,Rhonda Graham Young,under
01-01,1085,215
01-02,1040,260
01-03,951,619
01-05,554,379
01-06,1527,406
01-07,1434,372
01-07A,97,36
01-11,1102,921
01-16,1414,532
01-29,1138,719
01-33,987,417
01-49,1140,283
04-01,1054,457
04-02,1174,548
04-03,853,375
04-04,664,336
04-05,1783,850
04-06,1523,760
04-07,1174,979
04-08,1184,484
04-09,1107,630
04-10,1312,631
04-11,707,285
04-12,1388,707
04-14,846,403
04-15,1206,552
04-16,1073,394
04-17,889,339
04-18,1301,533
04-20,1415,564
04-21,717,234
05-05,2769,1278
06-05,1200,1168
06-07,1449,918
07-01,782,344
07-10,2191,928
08-03,2262,1091
08-08,2006,1120
08-10,1243,558
08-11,1744,816
11-01,2201,882
11-02,1995,957
12-01,2282,2302
12-02,1985,1396
12-04,1677,1914
12-06,1936,1585
12-07,1044,1043
12-09,1914,1771
12-10,2016,1524
12-11,1167,1110
15-01,1448,1458
15-02,2164,1680
15-03,1699,1926
15-04,873,802
16-01,894,677
16-05,899,663
16-09,1954,937
18-02,1921,1727
18-03,1107,614
18-05,2373,1520
20-03,1952,1103
20-05,1875,1228
20-09,1314,731
