id,Joe John,Marilyn Avila,Michael Nelson,over,under
02-01,1256,1108,48,0,29
02-02,2191,2163,87,2,31
02-03,1031,1154,53,1,17
02-04,871,996,39,1,12
02-05,438,374,21,0,5
08-02,1802,1002,73,1,32
08-03,2091,1110,106,2,44
08-04,748,658,28,0,6
08-05,944,632,33,0,20
08-06,842,270,30,1,21
08-07,1012,922,52,0,22
08-08,1859,1157,80,0,30
08-09,854,429,50,0,18
08-10,1151,571,52,0,27
08-11,1632,835,64,1,28
13-10,2402,1521,89,0,55
13-11,1276,966,48,0,34
14-01,194,380,20,0,6
14-02,2039,2979,138,3,41
