id,Bruce K. Forster,Kevin Terrett,Maria Cervania,over,under
04-01,446,34,999,5,27
04-02,556,43,1094,0,29
04-03,386,30,797,0,15
04-04,335,34,618,0,13
04-06,757,50,1423,2,50
04-09,665,29,1024,0,19
04-10,632,60,1218,0,33
04-11,267,29,680,0,15
04-12,711,57,1300,0,28
04-13,1072,62,2101,1,47
04-14,397,51,772,0,29
04-15,549,39,1134,0,36
04-16,375,57,1007,1,27
04-19,409,37,872,0,15
04-20,562,45,1339,0,33
18-03,624,30,1043,1,23
20-03,1149,77,1778,1,50
20-04,764,69,1538,0,25
20-08,1294,86,1876,0,45
20-10,682,51,1483,2,39
