id,Ashley Seshul,Kat McDonald,Tim Longest,over,under
01-04,335,23,490,0,12
01-05,398,18,493,0,24
01-06,364,62,1463,0,44
01-09,173,26,746,0,9
01-10,397,19,815,0,19
01-11,999,41,945,0,38
01-12,440,38,904,2,22
01-15,611,41,986,0,22
01-17,362,28,431,0,11
01-18,586,51,1024,1,24
01-30,391,29,629,0,21
01-36,830,44,929,0,23
01-37,523,45,789,1,11
01-39,458,67,1048,0,15
01-43,406,66,850,0,19
01-45,410,45,652,0,14
01-51,289,39,463,0,12
02-06,1049,49,842,0,24
07-02,438,40,659,0,23
07-03,448,33,751,0,8
07-04,732,113,1702,2,31
07-05,415,36,768,0,22
07-06,1157,73,1505,0,53
07-07,901,73,1465,2,35
07-07A,158,12,290,0,20
07-09,678,55,1308,1,42
07-11,366,15,536,0,11
07-13,542,60,930,1,20
