id,David Bankert,Lisa Grafstein,Michael C. Munger,over,under
01-15,588,988,52,1,31
01-17,353,437,27,0,15
01-18,548,1048,57,0,33
01-30,363,646,42,0,19
01-36,774,969,51,0,32
01-37,503,801,46,0,19
01-38,332,904,52,0,21
01-39,416,1086,69,0,17
01-42,921,979,66,0,37
01-43,385,868,63,0,25
01-44,584,1513,68,0,30
01-45,412,658,39,0,12
01-46,163,856,42,1,17
01-47,675,855,46,0,33
01-51,282,471,33,0,17
02-01,1072,1251,81,0,37
02-05,363,436,25,0,12
02-06,1017,863,57,2,25
07-02,421,682,36,0,21
07-03,418,772,38,0,12
07-04,690,1750,103,0,37
07-05,403,773,34,0,31
07-06,1093,1545,85,1,64
07-07,873,1502,65,1,35
07-07A,152,301,9,0,19
07-09,632,1348,65,0,39
07-11,343,541,30,0,14
07-12,525,1126,57,0,35
07-13,519,963,52,1,18
08-02,1012,1758,98,1,41
08-03,1103,2074,127,1,48
08-04,649,724,53,0,14
08-05,619,927,56,1,26
08-06,268,839,34,0,23
08-07,909,988,78,0,33
08-08,1137,1841,105,0,43
08-09,419,862,54,0,16
08-10,560,1152,58,0,31
08-11,829,1602,88,1,40
13-01,562,2156,97,0,22
13-02,564,800,40,0,21
13-05,230,777,46,0,12
13-06,696,1204,66,0,36
13-07,341,927,37,1,16
13-08,263,1103,49,0,21
13-11,955,1273,58,0,38
17-01,319,816,36,1,14
17-10,221,440,24,0,21
17-11,526,1747,75,1,25
