id,Dee Watson,Gale Adcock,James Powers,Michael Trudeau,over,under
04-01,33,1004,424,24,2,23
04-04,31,611,318,31,0,9
04-05,63,1666,771,104,0,29
04-07,28,1090,991,21,0,23
04-08,33,1150,414,47,0,24
04-09,31,1030,642,22,0,12
04-10,56,1216,617,24,2,28
04-11,10,453,182,8,1,9
04-13,58,2128,1016,47,0,34
04-14,50,779,380,18,1,21
04-15,52,1120,534,25,1,26
04-16,50,993,361,39,1,23
04-17,36,853,313,21,0,5
04-18,42,1234,495,35,0,28
04-19,42,870,386,24,0,11
04-20,42,1330,542,44,0,21
04-21,30,657,228,27,0,9
05-01,59,1542,854,46,2,27
05-03,54,1639,945,26,1,23
05-05,103,2622,1182,90,3,47
05-06,67,2256,1139,47,1,24
05-07,90,3004,1036,71,3,42
05-08,65,1691,578,43,0,28
07-10,82,2058,866,62,2,49
20-03,66,1797,1098,55,0,39
20-04,54,1542,724,49,1,26
20-08,71,1652,1084,42,0,32
20-09,48,1217,723,25,0,32
20-10,49,1497,658,25,1,27
20-14,82,2948,1393,78,1,30
20-15,71,1883,686,46,0,25
20-16,62,1695,649,37,1,31
20-17,61,1977,932,45,1,31
