id,Chris Baker,Dan Blue,Matthew Laszacs,over,under
01-19,39,766,10,0,6
01-20,114,1381,54,0,22
01-22,80,1836,41,0,28
01-26,86,1036,41,0,16
01-34,36,734,17,0,13
01-35,49,969,29,0,14
01-40,122,1746,46,0,26
01-50,87,1379,31,1,15
09-01,834,579,33,1,25
09-02,678,1000,47,0,22
09-03,1167,1257,67,1,35
10-01,502,250,25,1,35
10-02,980,1094,49,0,22
10-03,678,883,56,1,19
10-05,1138,1235,75,2,29
10-06,1059,2163,105,2,49
16-01,733,773,40,0,25
16-02,403,1945,74,0,37
16-03,338,564,22,0,14
16-04,814,1136,47,2,25
16-06,243,514,32,1,19
16-07,876,1434,83,1,45
16-09,960,1783,107,2,39
16-10,318,2029,76,0,25
16-11,424,1547,46,3,26
17-01,45,222,5,0,5
17-02,437,601,27,1,20
17-03,925,2707,121,3,53
17-04,1159,2479,95,1,50
17-05,575,1563,62,1,35
17-06,652,709,33,0,28
17-07,264,1684,49,0,19
17-09,187,1641,60,2,13
17-12,407,1357,62,1,14
17-13,976,2024,108,2,42
