id,Emanuela Prister,Jay J. Chaudhuri,Sammie Brooks,over,under
01-01,188,1046,41,1,24
01-02,220,1016,35,0,29
01-03,594,885,49,0,42
01-04,312,515,15,0,18
01-05,368,522,17,0,26
01-06,362,1486,48,0,37
01-07,343,1376,61,0,26
01-07A,23,96,6,0,9
01-09,163,743,31,0,17
01-10,353,847,27,0,23
01-11,917,1009,37,0,60
01-12,394,933,56,0,23
01-13,148,1016,40,0,20
01-14,329,2203,78,0,41
01-16,500,1351,49,1,45
01-21,492,1691,88,3,28
01-23,307,1673,74,3,28
01-25,17,233,10,0,1
01-27,166,1207,43,1,22
01-28,280,2118,79,2,35
01-29,716,1042,45,0,54
01-31,219,1148,84,0,23
01-32,311,1038,47,1,29
01-33,402,937,24,1,40
01-41,232,1039,44,0,25
01-48,264,1174,36,1,36
01-49,282,1068,54,0,19
04-02,548,1089,55,0,30
04-03,379,791,41,0,17
04-06,744,1431,57,1,49
04-11,74,229,20,0,6
04-12,705,1299,57,0,35
07-01,310,757,41,0,18
11-01,834,2073,125,1,50
11-02,960,1876,69,0,47
16-05,671,788,67,1,35
18-01,392,1759,100,0,37
18-02,1797,1667,110,1,73
18-03,605,1055,39,0,22
18-04,1391,1526,99,0,59
18-05,1559,2179,103,0,52
18-06,553,1647,94,0,30
18-07,1401,1190,84,1,34
18-08,962,1704,84,0,36
