id,E. C. Sykes,Mary Wills Bode,Ryan Brown,over,under
02-02,2125,2208,108,1,32
02-03,1115,1055,65,1,20
02-04,956,906,45,1,11
13-09,487,1832,88,1,26
13-10,1488,2454,90,0,35
14-01,372,208,11,0,8
14-02,2893,2158,123,2,24
19-03,878,1026,61,0,20
19-05,1292,1074,49,1,9
19-07,1574,1870,77,2,36
19-09,1695,1367,73,2,19
19-11,931,1224,64,2,13
19-12,1976,2410,114,1,38
19-13,460,812,35,1,13
19-14,792,1006,43,1,12
19-15,840,1023,35,1,12
19-16,751,926,47,1,16
19-17,889,2168,89,1,26
19-18,999,1217,64,0,16
19-19,2270,2370,113,1,41
19-20,1094,1282,64,0,15
19-21,1214,1941,84,2,26
