id,Paul C. Ridgeway,under
01-01,1112,188
01-02,1061,239
01-06,1551,382
01-07,1479,327
01-07A,93,40
01-14,2310,341
01-16,1451,495
01-23,1787,298
01-29,1208,649
01-31,1245,229
01-32,1121,305
01-33,1022,382
01-41,1089,251
01-48,1214,297
01-49,1142,281
04-01,1067,444
04-02,1193,529
04-03,858,370
04-04,674,326
04-06,1535,749
04-07,1221,932
04-10,1329,614
04-11,714,277
04-12,1421,672
04-13,2325,958
04-14,850,399
04-15,1211,547
04-16,1074,393
04-19,956,377
04-20,1427,552
04-21,725,226
11-02,2059,893
18-01,1870,418
18-04,1789,1286
18-06,1787,537
18-08,1912,874
